id	name	source_domain	primary_field	current_horizon	legacy_ordering_day	relative_chance	requires_all	requires_any	learning_route_count	learning_route_foundations	reference_transformation	role	review_status	presentation_tier	stack_gaps	chronology_risk	review_note
aluminum_electrolysis	Aluminum Electrolysis		D04		0	0.002			1	"[{""id"":""local"",""requires_all"":[""alumina_refining"",""electrical_generators"",""electrochemical_cells""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
ammonium_sulfate_fertilizer	Ammonium Sulfate Fertilizer	nutrition	D01		0	0.002			1	"[{""id"":""local"",""requires_all"":[""catalytic_ammonia_synthesis"",""sulfuric_acid_production"",""nutrient_response_trials""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
amphibious_operations	Amphibious Operations	security	D20		92000	0.001			1	"[{""id"":""local"",""requires_all"":[""naval_arsenals"",""professional_corps""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
amplitude_modulation	Amplitude Modulation		D13		0	0.002			1	"[{""id"":""local"",""requires_all"":[""feedback_radio_oscillators"",""carbon_microphones""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
animal_taming	Animal Taming	ecology	D01		90	0.005			1	"[{""id"":""local"",""requires_all"":[""seasonal_patterns""],""requires_any"":[],""progress_multiplier"":1.0}]"	T04	anchor	repair	landmark	suitable animal population, capture, husbandry, breeding continuity	shallow_path,cross_field_gap	Seasonal patterns alone currently support a broad capability that includes staying, breeding, and following.
apprentice_contracts	Apprentice Contracts	labor	D18		1100	0.005		"[[""hafted_tools"",""joinery"",""pit_firing""]]"	1	"[{""id"":""local"",""requires_all"":[""customary_law""],""requires_any"":[[""hafted_tools"",""joinery"",""pit_firing""]],""progress_multiplier"":1.0}]"			unreviewed				pending
arc_welding_processes	Arc Welding Processes		D04		0	0.002		"[[""electric_arc_furnaces"",""electrical_generators""],[""forge_welding""]]"	1	"[{""id"":""local"",""requires_all"":[""electrical_measurement""],""requires_any"":[[""electric_arc_furnaces"",""electrical_generators""],[""forge_welding""]],""progress_multiplier"":1.0}]"			unreviewed				pending
arithmetic_logic_units	Arithmetic-Logic Units	knowledge	D21		0	0.002			1	"[{""id"":""local"",""requires_all"":[""binary_adders"",""transistor_inverters"",""parallel_register_banks""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
armor_piercing_weapons	Armor-Piercing Weapons	security	D20		52000	0.001			1	"[{""id"":""local"",""requires_all"":[""armored_vehicles"",""indirect_fire""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
armored_hulls	Armored Hulls	security	D20		78000	0.001			1	"[{""id"":""local"",""requires_all"":[""steam_propulsion"",""naval_gunnery""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
armored_riding	Armored Riding	security	D20		5000	0.001			1	"[{""id"":""local"",""requires_all"":[""domesticated_mounts"",""bronze_weaponry""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
armored_vehicles	Armored Fighting Vehicles	security	D20		48000	0.001			1	"[{""id"":""local"",""requires_all"":[""internal_combustion"",""armored_hulls""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
aromatic_amine_hydrogenation	Aromatic Amine Hydrogenation		D04	H04	0	0.002			1	"[{""id"":""local"",""requires_all"":[""industrial_catalyst_design"",""pressure_vessels""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
aromatic_nitration	Aromatic Nitration		D04	H04	0	0.002			1	"[{""id"":""local"",""requires_all"":[""chemical_distillation"",""experimental_controls""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
articulated_plate_armor	Articulated Plate Armor		D20		0	0.0025		"[[""sheet_steel_rolling"",""structural_load_testing""]]"	1	"[{""id"":""local"",""requires_all"":[""hardened_edges"",""standard_measures""],""requires_any"":[[""sheet_steel_rolling"",""structural_load_testing""]],""progress_multiplier"":1.0}]"			unreviewed				pending
aseptic_laboratory_practice	Aseptic Laboratory Practice		D15		0	0.002			1	"[{""id"":""local"",""requires_all"":[""microbial_isolation_methods"",""experimental_protocol_publication""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
atomic_physics	Atomic Physics	knowledge	D12		90000	0.001			1	"[{""id"":""local"",""requires_all"":[""spectroscopy"",""electron_physics""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
automatic_actions	Automatic Firearms	security	D20		44000	0.001			1	"[{""id"":""local"",""requires_all"":[""metallic_cartridges"",""precision_machinery""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
automatic_repeat_request	Automatic Repeat Request		D13		0	0.002			1	"[{""id"":""local"",""requires_all"":[""error_detection_codes"",""message_framing""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
automatic_telegraphy	Automatic Telegraphy		D13		0	0.002			1	"[{""id"":""local"",""requires_all"":[""punched_message_tape"",""teleprinter_mechanisms"",""electrical_telegraphy""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
axle_sleeve_fitting	Axle Sleeve Fitting	infrastructure	D09		0	0.002			1	"[{""id"":""local"",""requires_all"":[""wooden_axle_boxes"",""bearing_surfaces"",""forge_welding""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
balanced_conductor_pairs	Balanced Conductor Pairs		D13		0	0.002			1	"[{""id"":""local"",""requires_all"":[""cable_insulation"",""electromagnetic_induction""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
band_theory	Electronic Band Theory	knowledge	D21		85000	0.002			2	"[{""id"":""local"",""requires_all"":[""solid_state_physics"",""atomic_physics"",""solid_state_physics"",""atomic_physics""],""requires_any"":[],""progress_multiplier"":1.0},{""id"":""mathematical:local"",""requires_all"":[""solid_state_physics"",""atomic_physics"",""complex_numbers"",""harmonic_analysis"",""solid_state_physics"",""atomic_physics""],""requires_any"":[],""progress_multiplier"":1.2}]"			unreviewed				pending
basic_machine_shops	Basic Machine Shops	production	D06		0	0.002			1	"[{""id"":""local"",""requires_all"":[""centre_lathe_assembly"",""column_drilling_machines"",""bench_vise_screws""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
basketry	Basketry	production	D07		12	0.006			2	"[{""id"":""local"",""requires_all"":[""cordage""],""requires_any"":[],""progress_multiplier"":1.0},{""id"":""experimental"",""requires_all"":[""clay_shaping""],""requires_any"":[],""progress_multiplier"":1.0}]"	T03	anchor	keep	landmark		none	Alternative fiber and vessel-experiment routes remain causal and resource-bound.
battery_bank_wiring	Battery Bank Wiring	production	D05		0	0.002			1	"[{""id"":""local"",""requires_all"":[""lead_acid_cells"",""cable_insulation"",""standard_measures""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
battlefield_medicine	Battlefield Medicine	security	D20		32500	0.0009			1	"[{""id"":""local"",""requires_all"":[""civic_infirmaries"",""professional_corps""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
bearing_surfaces	Bearing Surfaces	knowledge	D06		12000	0.002			1	"[{""id"":""local"",""requires_all"":[""copper_casting"",""workshop_standards"",""copper_casting"",""workshop_standards""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
belt_power_transmission	Belt-Power Transmission		D06		0	0.0025			1	"[{""id"":""local"",""requires_all"":[""fiber_grading"",""bearing_surfaces""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
bench_vise_screws	Bench-Vise Screws	production	D06		0	0.002			1	"[{""id"":""local"",""requires_all"":[""lead_screw_cutting"",""split_feed_nuts"",""column_drilling_machines""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
binary_adders	Binary Adders	production	D21		0	0.0025		"[[""relay_logic"",""diode_logic""]]"	1	"[{""id"":""local"",""requires_all"":[],""requires_any"":[[""relay_logic"",""diode_logic""]],""progress_multiplier"":1.0}]"			unreviewed				pending
binary_counters	Binary Counters	production	D21		0	0.0025			1	"[{""id"":""local"",""requires_all"":[""bistable_multivibrators""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
biological_classification	Biological Classification		D15		0	0.002			1	"[{""id"":""local"",""requires_all"":[""herbal_classification"",""habitat_observation_records""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
biological_reference_collections	Biological Reference Collections		D15		0	0.002			1	"[{""id"":""local"",""requires_all"":[""biological_classification"",""formal_archives""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
biological_staining	Biological Staining		D15		0	0.002			1	"[{""id"":""local"",""requires_all"":[""microscopic_cell_observation"",""chemical_distillation""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
biomass_gasification	Biomass Gasification		D05	H04	0	0.002			1	"[{""id"":""local"",""requires_all"":[""charcoal"",""gas_composition_analysis""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
bipolar_junction_transistors	Bipolar Junction Transistors	production	D21		0	0.0025			1	"[{""id"":""local"",""requires_all"":[""pn_junctions"",""semiconductor_doping""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
birth_attendants	Experienced Birth Attendants	health	D14		320	0.0042			1	"[{""id"":""local"",""requires_all"":[""wound_cleaning""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
bistable_multivibrators	Bistable Multivibrators	production	D21		0	0.0025			1	"[{""id"":""local"",""requires_all"":[""transistor_inverters""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
bitumen_sealing	Bitumen Sealing	infrastructure	D08		6500	0.0028			1	"[{""id"":""local"",""requires_all"":[""sealed_vessels""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
black_powder	Composite Propellant	security	D20		39000	0.0009			1	"[{""id"":""local"",""requires_all"":[""sulfur_purification"",""nitrate_cultivation"",""charcoal""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
blast_furnace	Continuous Blast Furnace	production	D04		41000	0.001			3	"[{""id"":""mine_supported"",""requires_all"":[""refractory_furnaces"",""mine_drainage"",""rope_rigging""],""requires_any"":[],""progress_multiplier"":1.0},{""id"":""metallurgical"",""requires_all"":[""refractory_furnaces"",""bloomery_smelting"",""rope_rigging""],""requires_any"":[],""progress_multiplier"":1.0},{""id"":""charcoal_furnace"",""requires_all"":[""charcoal"",""refractory_brick_firing"",""bloomery_smelting"",""rope_rigging""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
bloomery_charge_control	Bloomery Charge Control	production	D04		0	0.002			1	"[{""id"":""local"",""requires_all"":[""bloomery_smelting"",""standard_measures""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
bloomery_smelting	Bloomery Smelting	production	D04		18000	0.0018			1	"[{""id"":""local"",""requires_all"":[""iron_assaying"",""charcoal"",""framed_construction""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
bolt_blank_forging	Bolt Blank Forging	production	D06		0	0.002			1	"[{""id"":""local"",""requires_all"":[""forge_welding"",""standard_measures""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
bolt_thread_rolling	Bolt Thread Rolling	production	D06		0	0.002			1	"[{""id"":""local"",""requires_all"":[""bolt_blank_forging"",""thread_rolling_die_making""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
bone_needle_sewing	Bone-Needle Sewing		D07		0	0.002			1	"[{""id"":""local"",""requires_all"":[""hafted_tools"",""cordage""],""requires_any"":[],""progress_multiplier"":1.0}]"	T02	anchor	repair	notice	ordinary bone supply; early hide or fiber material	scope_mismatch,cross_field_gap	The current operating contract obtains bone only from post-siege hunting and assumes later cloth or yarn, so it cannot carry ordinary opening sewing.
bookbinding_assemblies	Bookbinding Assemblies		D13		0	0.002			1	"[{""id"":""local"",""requires_all"":[""cordage""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
bow_craft	War Bow Craft	security	D20		420	0.0038			1	"[{""id"":""local"",""requires_all"":[""cordage"",""hafted_tools"",""watch_rotation""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
bow_drill_drive	Bow-Drill Drive		D06		0	0.0025			1	"[{""id"":""local"",""requires_all"":[""cordage"",""hafted_tools""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
brazed_joint_qualification	Brazed Joint Qualification		D04		0	0.002		"[[""forge_welding"",""experimental_controls""]]"	1	"[{""id"":""local"",""requires_all"":[""copper_casting""],""requires_any"":[[""forge_welding"",""experimental_controls""]],""progress_multiplier"":1.0}]"			unreviewed				pending
brine_fermentation	Brine Fermentation	nutrition	D01		3100	0.003		"[[""sealed_vessels"",""pit_firing""]]"	1	"[{""id"":""local"",""requires_all"":[""fermentation_control"",""salt_working""],""requires_any"":[[""sealed_vessels"",""pit_firing""]],""progress_multiplier"":1.0}]"			unreviewed				pending
brine_purification	Brine Purification	production	D04		65000	0.002			1	"[{""id"":""local"",""requires_all"":[""salt_working"",""water_settling_basins"",""chemical_distillation"",""salt_working"",""water_settling_basins"",""chemical_distillation""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
bronze_alloying	Bronze Alloying	production	D04		8200	0.0022			1	"[{""id"":""local"",""requires_all"":[""copper_casting""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
bronze_weaponry	Standardized Bronze Arms	security	D20		8800	0.0019			1	"[{""id"":""local"",""requires_all"":[""bronze_alloying"",""shield_wall"",""workshop_standards""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
building_capillary_breaks	Building Capillary Breaks		D08		0	0.002			1	"[{""id"":""local"",""requires_all"":[""masonry_moisture_management""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
building_drainage_coordination	Building-Drainage Coordination		D08		0	0.002			1	"[{""id"":""local"",""requires_all"":[""drainage"",""household_space_planning""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
building_shading_design	Building-Shading Design		D08		0	0.002			1	"[{""id"":""local"",""requires_all"":[""seasonal_patterns"",""geometric_survey""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
building_wind_load_assessment	Building Wind-Load Assessment		D08		0	0.002			1	"[{""id"":""local"",""requires_all"":[""aerodynamics"",""structural_load_testing""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
buried_pipe_load_assessment	Buried Pipe Load Assessment		D02	H03	0	0.002			1	"[{""id"":""local"",""requires_all"":[""rigid_pipe_bedding"",""standard_measures""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
burin_engraving	Burin Engraving	production	D19		0	0.0025			1	"[{""id"":""local"",""requires_all"":[""copperplate_preparation"",""printing_process""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
buttonhole_edge_reinforcement	Buttonhole Edge Reinforcement		D07	H03	0	0.002			1	"[{""id"":""local"",""requires_all"":[""bone_needle_sewing"",""garment_pattern_cutting""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
cable_insulation	Cable Insulation	production	D04		44000	0.002			1	"[{""id"":""local"",""requires_all"":[""wire_drawing"",""bitumen_sealing"",""electrical_measurement""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
calorimetry	Calorimetry	knowledge	D12		36000	0.002			1	"[{""id"":""local"",""requires_all"":[""precision_thermometry"",""experimental_controls""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
cam_motion_design	Cam-Motion Design		D06		0	0.0025			1	"[{""id"":""local"",""requires_all"":[""measured_kinematics"",""crank_linkages""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
can_body_forming	Can Body Forming	nutrition	D01		0	0.002			1	"[{""id"":""local"",""requires_all"":[""tinplate_coating"",""standard_measures""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
canal_locks	Canal Locks	infrastructure	D10		11800	0.0015			2	"[{""id"":""local"",""requires_all"":[""irrigation_schedules"",""geometric_survey"",""lime_mortar""],""requires_any"":[],""progress_multiplier"":1.0},{""id"":""mechanical:local"",""requires_all"":[""irrigation_schedules"",""geometric_survey"",""lime_mortar"",""hydrostatic_pressure""],""requires_any"":[],""progress_multiplier"":1.15}]"			unreviewed				pending
caravanserais	Caravanserais	logistics	D09		6500	0.002			1	"[{""id"":""local"",""requires_all"":[""graded_roads"",""public_stores""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
carbon_microphones	Carbon Microphones		D21		0	0.002			1	"[{""id"":""local"",""requires_all"":[""acoustic_diaphragms"",""carbon_resistors""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
carbon_resistors	Carbon Resistors	production	D21		0	0.0025			1	"[{""id"":""local"",""requires_all"":[""electrical_measurement"",""graphite_marking""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
cargo_seals	Cargo Seals	logistics	D17		1800	0.005			1	"[{""id"":""local"",""requires_all"":[""material_accounting"",""clay_tempering""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
carrier_aviation	Carrier Aviation	security	D20		90000	0.001			1	"[{""id"":""local"",""requires_all"":[""naval_aviation"",""naval_fire_control""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
cart_bed_framing	Cart Bed Framing	infrastructure	D09		0	0.002			1	"[{""id"":""local"",""requires_all"":[""joinery"",""treenail_fastening""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
cart_running_gear	Cart Running Gear	infrastructure	D09		0	0.002			2	"[{""id"":""solid_wheels"",""requires_all"":[""solid_wheel_assembly"",""wooden_axle_shaping"",""wooden_axle_boxes"",""linchpin_retention"",""cart_bed_framing"",""drawbar_fitting"",""haul_harness_weaving""],""requires_any"":[],""progress_multiplier"":1.0},{""id"":""spoked_wheels"",""requires_all"":[""spoked_wheel_assembly"",""wooden_axle_shaping"",""wooden_axle_boxes"",""linchpin_retention"",""cart_bed_framing"",""drawbar_fitting"",""haul_harness_weaving""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
carvel_frame_construction	Carvel Frame Construction	movement	D10		0	0.002			1	"[{""id"":""local"",""requires_all"":[""keel_scarfing"",""grown_frame_selection"",""hull_seam_caulking"",""treenail_fastening""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
case_records	Medical Case Records	health	D14		3100	0.0025			1	"[{""id"":""local"",""requires_all"":[""herbal_classification"",""tallies""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
castellated_nut_slotting	Castellated Nut Slotting	production	D06		0	0.002			1	"[{""id"":""local"",""requires_all"":[""internal_thread_tapping"",""horizontal_milling_machines""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
casualty_collection_posts	Casualty Collection Posts	security	D20		0	0.002			1	"[{""id"":""local"",""requires_all"":[""litter_bearer_drill"",""watch_rotation""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
casualty_transfer_records	Casualty Transfer Records	security	D20		0	0.002			1	"[{""id"":""local"",""requires_all"":[""litter_bearer_drill"",""case_records""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
catalytic_ammonia_synthesis	Catalytic Ammonia Synthesis	production	D04		0	0.002		"[[""chloralkali_cells"",""water_electrolysis""]]"	1	"[{""id"":""local"",""requires_all"":[""iron_ammonia_catalysts"",""cryogenic_air_separation"",""pressure_vessels""],""requires_any"":[[""chloralkali_cells"",""water_electrolysis""]],""progress_multiplier"":1.0}]"			unreviewed				pending
caulking_fiber_preparation	Caulking Fiber Preparation	movement	D10		0	0.002			1	"[{""id"":""local"",""requires_all"":[""cordage"",""river_craft""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
cavalry_infantry_liaison	Cavalry–Infantry Liaison	security	D20		3200	0.002			1	"[{""id"":""local"",""requires_all"":[""domesticated_mounts"",""formation_drill""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
cell_culture_methods	Cell-Culture Methods		D15		0	0.002			1	"[{""id"":""local"",""requires_all"":[""cell_theory"",""aseptic_laboratory_practice""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
cell_division_observation	Cell-Division Observation		D15		0	0.002			1	"[{""id"":""local"",""requires_all"":[""microscopic_cell_observation"",""experimental_controls""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
cell_theory	Cell Theory		D15		0	0.002			1	"[{""id"":""local"",""requires_all"":[""microscopic_cell_observation"",""comparative_anatomy""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
census_rolls	Household Census Rolls	institutions	D16		1800	0.0028			1	"[{""id"":""local"",""requires_all"":[""pictographic_records"",""household_councils""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
centerless_grinding	Centerless Grinding		D06	H04	0	0.002			1	"[{""id"":""local"",""requires_all"":[""abrasive_grinding_control"",""precision_machinery""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
centers_of_mass	Centers of Mass	knowledge	D12		12000	0.002			1	"[{""id"":""local"",""requires_all"":[""lever_moments"",""geometric_survey"",""lever_moments"",""geometric_survey""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
centre_lathe_assembly	Centre-Lathe Assembly	production	D06		0	0.002			1	"[{""id"":""local"",""requires_all"":[""cross_slide_assembly"",""four_jaw_chucks"",""tailstock_fitting"",""toolbit_heat_treatment""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
centrifugal_tube_casting	Centrifugal Tube Casting		D06	H04	0	0.002			1	"[{""id"":""local"",""requires_all"":[""metal_casting_feed_design"",""precision_machinery""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
ceramic_crucibles	Ceramic Crucibles	production	D04		0	0.002			1	"[{""id"":""local"",""requires_all"":[""refractory_body_trials"",""clay_shaping""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
ceramic_glaze_formulation	Ceramic-Glaze Formulation		D04		0	0.002			1	"[{""id"":""local"",""requires_all"":[""glassmaking"",""clay_testing"",""kiln_control""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
ceramic_pipe_firing_qualification	Ceramic Pipe Firing Qualification		D02	H02	0	0.002			1	"[{""id"":""local"",""requires_all"":[""clay_pipe_forming"",""kiln_control""],""requires_any"":[],""progress_multiplier"":1.0}]"			unreviewed				pending
