effect	side	block_end_year	raw_block_total	scale	running_total	target
chemical_control	benefit	1450	0.003	1.0	0.111	0.4567
chemical_control	benefit	1650	0.004	1.0	0.115	0.47
chemical_control	benefit	1750	0.003	1.0	0.118	0.4767
chemical_control	benefit	1800	0.027	1.0	0.145	0.48
chemical_control	benefit	1850	0.004	1.0	0.149	0.4843
chemical_control	benefit	1900	0.005	1.0	0.154	0.4887
chemical_control	benefit	2000	0.013	1.0	0.167	0.4973
chemical_control	benefit	2100	0.004	1.0	0.171	0.506
chemical_control	benefit	2200	0.002	1.0	0.173	0.5147
chemical_control	benefit	2250	0.002	1.0	0.175	0.519
chemical_control	benefit	2300	0.017	1.0	0.192	0.5233
chemical_control	benefit	2350	0.01	1.0	0.202	0.5277
chemical_control	benefit	2400	0.025	1.0	0.227	0.532
chemical_control	benefit	2450	0.005	1.0	0.232	0.546
chemical_control	benefit	2500	0.0061	1.0	0.2381	0.56
chemical_control	benefit	2550	0.0024	1.0	0.2405	0.576
chemical_control	benefit	2600	0.0196	1.0	0.2601	0.592
chemical_control	benefit	2650	0.0108	1.0	0.2709	0.612
chemical_control	benefit	2700	0.0179	1.0	0.2888	0.632
chemical_control	benefit	2750	0.0206	1.0	0.3094	0.656
chemical_control	benefit	2800	0.0254	1.0	0.3348	0.68
chemical_control	benefit	2850	0.0084	1.0	0.3432	0.71
chemical_control	cost	2850	0.004	1.0	0.004	0.1625
chemical_control	benefit	2900	0.003	1.0	0.3462	0.74
chemical_control	cost	2900	0.002	1.0	0.006	0.165
chemical_control	benefit	2950	0.0054	1.0	0.3516	0.77
chemical_control	benefit	3000	0.0038	1.0	0.3554	0.8
clay_yield	benefit	50	0.05	1.0	0.05	0.225
clay_yield	benefit	250	0.02	1.0	0.07	0.3173
clay_yield	benefit	300	0.02	1.0	0.09	0.3375
clay_yield	benefit	1650	0.003	1.0	0.093	0.5288
clay_yield	benefit	2250	0.002	1.0	0.095	0.5839
cohesion	benefit	50	0.2006	1.0	0.2006	0.2
cohesion	cost	50	0.0051	1.0	0.0051	0.1444
cohesion	benefit	100	0.0238	1.0	0.2244	0.224
cohesion	cost	100	0.014	1.0	0.0191	0.1537
cohesion	benefit	150	0.02	1.0	0.2444	0.244
cohesion	cost	150	0.0139	1.0	0.033	0.1631
cohesion	benefit	200	0.0198	1.0	0.2642	0.264
cohesion	cost	200	0.0225	1.0	0.0555	0.1725
cohesion	benefit	250	0.0182	1.0	0.2824	0.282
cohesion	cost	250	0.025	1.0	0.0805	0.1819
cohesion	benefit	300	0.0179	1.0	0.3003	0.3
cohesion	cost	300	0.0189	1.0	0.0994	0.1913
cohesion	benefit	350	0.0174	1.0	0.3177	0.3173
cohesion	cost	350	0.045	1.0	0.1444	0.2006
cohesion	benefit	400	0.0174	1.0	0.3351	0.3347
cohesion	cost	400	0.025	1.0	0.1694	0.21
cohesion	benefit	450	0.0173	1.0	0.3524	0.352
cohesion	benefit	500	0.0162	1.0	0.3686	0.368
cohesion	cost	500	0.01	1.0	0.1794	0.2287
cohesion	benefit	550	0.016	1.0	0.3846	0.384
cohesion	cost	550	0.03	1.0	0.2094	0.2381
cohesion	benefit	600	0.0135	1.0	0.3981	0.4
cohesion	cost	600	0.02	1.0	0.2294	0.2475
cohesion	benefit	650	0.0266	0.118	0.4012	0.4012
cohesion	cost	650	0.0128	1.0	0.2422	0.2501
cohesion	benefit	700	0.039	0.05	0.4032	0.4025
cohesion	cost	700	0.0228	0.463	0.2528	0.2528
cohesion	benefit	750	0.0405	0.05	0.4052	0.4037
cohesion	cost	750	0.011	0.239	0.2554	0.2554
cohesion	benefit	800	0.0368	0.05	0.4071	0.405
cohesion	cost	800	0.0122	0.215	0.258	0.258
cohesion	benefit	850	0.0296	0.05	0.4085	0.4062
cohesion	cost	850	0.0206	0.127	0.2606	0.2606
cohesion	benefit	900	0.0321	0.05	0.4102	0.4075
cohesion	cost	900	0.007	0.375	0.2632	0.2632
cohesion	benefit	950	0.0105	0.05	0.4107	0.4088
cohesion	cost	950	0.0166	0.158	0.2659	0.2659
cohesion	benefit	1000	0.0098	0.05	0.4112	0.41
cohesion	cost	1000	0.0097	0.271	0.2685	0.2685
cohesion	benefit	1050	0.0202	0.05	0.4122	0.4113
cohesion	cost	1050	0.006	0.437	0.2711	0.2711
cohesion	benefit	1100	0.0226	0.05	0.4133	0.4125
cohesion	cost	1100	0.0006	1.0	0.2717	0.2738
cohesion	benefit	1150	0.02	0.05	0.4143	0.4138
cohesion	cost	1150	0.017	0.274	0.2764	0.2764
cohesion	benefit	1200	0.0362	0.05	0.4161	0.415
cohesion	cost	1200	0.0266	0.099	0.279	0.279
cohesion	benefit	1250	0.0159	0.05	0.4169	0.4163
cohesion	cost	1250	0.0041	0.549	0.2812	0.2812
cohesion	benefit	1300	0.0248	0.05	0.4182	0.4175
cohesion	cost	1300	0.0125	0.18	0.2835	0.2835
cohesion	benefit	1350	0.0177	0.05	0.419	0.4188
cohesion	cost	1350	0.0132	0.17	0.2858	0.2858
cohesion	benefit	1400	0.022	0.05	0.4201	0.42
cohesion	cost	1400	0.0102	0.221	0.288	0.288
cohesion	benefit	1450	0.0279	0.05	0.4215	0.4213
cohesion	cost	1450	0.0109	0.206	0.2903	0.2903
cohesion	benefit	1500	0.0253	0.05	0.4228	0.4225
cohesion	cost	1500	0.0096	0.234	0.2925	0.2925
cohesion	benefit	1550	0.0137	0.07	0.4238	0.4238
cohesion	cost	1550	0.0131	0.172	0.2948	0.2948
cohesion	benefit	1600	0.0344	0.05	0.4255	0.425
cohesion	cost	1600	0.007	0.321	0.297	0.297
cohesion	benefit	1650	0.04	0.05	0.4275	0.4263
cohesion	cost	1650	0.009	0.25	0.2993	0.2993
cohesion	benefit	1700	0.0372	0.05	0.4293	0.4275
cohesion	cost	1700	0.0056	0.402	0.3015	0.3015
cohesion	benefit	1750	0.0341	0.05	0.431	0.4288
cohesion	cost	1750	0.0295	0.076	0.3038	0.3038
cohesion	benefit	1800	0.0525	0.05	0.4337	0.43
cohesion	cost	1800	0.0392	0.057	0.306	0.306
cohesion	benefit	1850	0.0231	0.05	0.4348	0.4316
cohesion	cost	1850	0.0133	0.169	0.3083	0.3083
cohesion	benefit	1900	0.0196	0.05	0.4358	0.4333
cohesion	cost	1900	0.0299	0.075	0.3105	0.3105
cohesion	benefit	1950	0.0247	0.05	0.437	0.4349
cohesion	cost	1950	0.0337	0.067	0.3128	0.3128
cohesion	benefit	2000	0.0299	0.05	0.4385	0.4365
cohesion	cost	2000	0.0269	0.084	0.315	0.315
cohesion	benefit	2050	0.018	0.05	0.4394	0.4381
cohesion	cost	2050	0.0162	0.139	0.3173	0.3173
cohesion	benefit	2100	0.0098	0.05	0.4399	0.4398
cohesion	cost	2100	0.0101	0.223	0.3195	0.3195
cohesion	benefit	2150	0.0164	0.089	0.4414	0.4414
cohesion	cost	2150	0.0202	0.111	0.3217	0.3217
cohesion	benefit	2200	0.0208	0.078	0.443	0.443
cohesion	cost	2200	0.0159	0.142	0.324	0.324
cohesion	benefit	2250	0.0119	0.137	0.4446	0.4446
cohesion	cost	2250	0.0173	0.13	0.3262	0.3262
cohesion	benefit	2300	0.0202	0.08	0.4463	0.4463
cohesion	cost	2300	0.0024	0.938	0.3285	0.3285
cohesion	benefit	2350	0.0207	0.079	0.4479	0.4479
cohesion	cost	2350	0.03	0.075	0.3307	0.3307
cohesion	benefit	2400	0.0464	0.05	0.4502	0.4495
cohesion	cost	2400	0.0304	0.074	0.333	0.333
cohesion	benefit	2450	0.0254	0.179	0.4548	0.4548
cohesion	cost	2450	0.0173	0.195	0.3364	0.3364
cohesion	benefit	2500	0.0338	0.155	0.46	0.46
cohesion	cost	2500	0.0111	0.304	0.3397	0.3397
cohesion	benefit	2550	0.0388	0.155	0.466	0.466
cohesion	cost	2550	0.0215	0.157	0.3431	0.3431
cohesion	benefit	2600	0.0332	0.181	0.472	0.472
cohesion	cost	2600	0.0163	0.207	0.3465	0.3465
cohesion	benefit	2650	0.0551	0.136	0.4795	0.4795
cohesion	cost	2650	0.0099	0.341	0.3499	0.3499
cohesion	benefit	2700	0.037	0.203	0.487	0.487
cohesion	cost	2700	0.0054	0.625	0.3533	0.3533
cohesion	benefit	2750	0.0474	0.19	0.496	0.496
cohesion	cost	2750	0.0366	0.092	0.3566	0.3566
cohesion	benefit	2800	0.0672	0.134	0.505	0.505
cohesion	cost	2800	0.0177	0.191	0.36	0.36
cohesion	benefit	2850	0.0566	0.199	0.5162	0.5162
cohesion	cost	2850	0.052	0.108	0.3656	0.3656
cohesion	benefit	2900	0.0328	0.343	0.5275	0.5275
cohesion	cost	2900	0.0373	0.151	0.3712	0.3712
cohesion	benefit	2950	0.0218	0.516	0.5388	0.5388
cohesion	cost	2950	0.0245	0.23	0.3769	0.3769
cohesion	benefit	3000	0.0176	0.639	0.55	0.55
cohesion	cost	3000	0.0317	0.177	0.3825	0.3825
conception_support	benefit	50	0.065	1.0	0.065	0.2156
conception_support	benefit	100	0.082	1.0	0.147	0.2188
conception_support	benefit	150	0.03	1.0	0.177	0.2219
conception_support	cost	200	0.01	1.0	0.01	0.1342
conception_support	cost	300	0.01	1.0	0.02	0.1487
conception_support	benefit	450	0.005	1.0	0.182	0.2406
conception_support	benefit	500	0.008	1.0	0.19	0.2437
conception_support	cost	500	0.005	1.0	0.025	0.1779
conception_support	benefit	550	0.027	1.0	0.217	0.2469
conception_support	benefit	600	0.03	1.0	0.247	0.25
conception_support	cost	600	0.055	1.0	0.08	0.1925
conception_support	benefit	650	0.014	0.274	0.2508	0.2508
conception_support	cost	650	0.003	1.0	0.083	0.1945
conception_support	benefit	700	0.004	0.208	0.2517	0.2517
conception_support	cost	700	0.002	1.0	0.085	0.1966
conception_support	benefit	750	0.004	0.208	0.2525	0.2525
conception_support	cost	750	0.002	1.0	0.087	0.1986
conception_support	benefit	800	0.006	0.139	0.2533	0.2533
conception_support	cost	800	0.008	1.0	0.095	0.2007
conception_support	cost	850	0.01	1.0	0.105	0.2027
conception_support	benefit	1000	0.003	1.0	0.2563	0.2567
conception_support	benefit	1050	0.015	0.078	0.2575	0.2575
conception_support	cost	1050	0.004	1.0	0.109	0.2109
conception_support	benefit	1100	0.006	0.139	0.2583	0.2583
conception_support	cost	1200	0.006	1.0	0.115	0.217
conception_support	benefit	1300	0.006	0.556	0.2617	0.2617
conception_support	cost	1300	0.001	1.0	0.116	0.2205
conception_support	benefit	1350	0.005	0.167	0.2625	0.2625
conception_support	cost	1400	0.002	1.0	0.118	0.224
conception_support	cost	1450	0.002	1.0	0.12	0.2257
conception_support	benefit	1500	0.002	1.0	0.2645	0.265
conception_support	cost	1500	0.002	1.0	0.122	0.2275
conception_support	cost	1550	0.004	1.0	0.126	0.2292
conception_support	benefit	1600	0.003	0.722	0.2667	0.2667
conception_support	cost	1600	0.004	1.0	0.13	0.231
conception_support	benefit	1650	0.003	0.278	0.2675	0.2675
conception_support	cost	1650	0.001	1.0	0.131	0.2327
conception_support	benefit	1700	0.004	0.208	0.2683	0.2683
conception_support	benefit	1750	0.003	0.278	0.2692	0.2692
conception_support	cost	1750	0.002	1.0	0.133	0.2362
conception_support	benefit	1800	0.003	0.278	0.27	0.27
conception_support	cost	1800	0.006	1.0	0.139	0.238
conception_support	benefit	1850	0.006	0.181	0.2711	0.2711
conception_support	cost	1850	0.001	1.0	0.14	0.2397
conception_support	benefit	1900	0.005	0.217	0.2722	0.2722
conception_support	benefit	1950	0.004	0.271	0.2732	0.2732
conception_support	benefit	2000	0.004	0.271	0.2743	0.2743
conception_support	cost	2000	0.002	1.0	0.142	0.245
conception_support	benefit	2050	0.002	0.542	0.2754	0.2754
conception_support	benefit	2100	0.001	1.0	0.2764	0.2765
conception_support	cost	2100	0.002	1.0	0.144	0.2485
conception_support	benefit	2150	0.008	0.146	0.2776	0.2776
conception_support	cost	2150	0.003	1.0	0.147	0.2502
conception_support	benefit	2200	0.003	0.361	0.2787	0.2787
conception_support	cost	2200	0.001	1.0	0.148	0.252
conception_support	benefit	2250	0.002	0.542	0.2797	0.2797
conception_support	benefit	2300	0.001	1.0	0.2807	0.2808
conception_support	benefit	2350	0.003	0.389	0.2819	0.2819
conception_support	cost	2350	0.008	1.0	0.156	0.2572
conception_support	benefit	2400	0.001	1.0	0.2829	0.283
conception_support	cost	2400	0.01	1.0	0.166	0.259
conception_support	cost	2450	0.008	1.0	0.174	0.2616
conception_support	benefit	2500	0.002	1.0	0.2849	0.29
conception_support	cost	2500	0.002	1.0	0.176	0.2642
conception_support	cost	2550	0.017	1.0	0.193	0.2669
conception_support	benefit	2600	0.007	1.0	0.2919	0.298
conception_support	cost	2600	0.072	1.0	0.265	0.2695
conception_support	cost	2650	0.014	0.509	0.2721	0.2721
conception_support	benefit	2700	0.001	1.0	0.2929	0.308
conception_support	cost	2700	0.003	0.875	0.2747	0.2747
conception_support	cost	2750	0.079	0.05	0.2787	0.2774
conception_support	benefit	2800	0.012	1.0	0.3049	0.32
conception_support	cost	2800	0.003	0.433	0.28	0.28
conception_support	cost	2850	0.199	0.05	0.2899	0.2844
conception_support	benefit	2900	0.013	1.0	0.3179	0.335
conception_support	cost	2900	0.1	0.05	0.2949	0.2887
conception_support	cost	2950	0.008	0.05	0.2954	0.2931
conception_support	benefit	3000	0.006	1.0	0.3239	0.35
conception_support	cost	3000	0.006	0.358	0.2975	0.2975
construction_rate	benefit	50	0.1351	1.0	0.1351	0.135
construction_rate	benefit	100	0.027	1.0	0.1621	0.162
construction_rate	benefit	150	0.0249	1.0	0.187	0.1867
construction_rate	benefit	200	0.0248	1.0	0.2118	0.2115
construction_rate	benefit	250	0.0247	1.0	0.2365	0.2362
construction_rate	benefit	300	0.0247	1.0	0.2612	0.261
construction_rate	benefit	350	0.0303	1.0	0.2915	0.291
construction_rate	benefit	400	0.0299	1.0	0.3214	0.321
construction_rate	benefit	450	0.03	1.0	0.3514	0.351
construction_rate	benefit	500	0.033	1.0	0.3844	0.384
construction_rate	benefit	550	0.0329	1.0	0.4173	0.417
construction_rate	benefit	600	0.0281	1.0	0.4454	0.45
construction_rate	benefit	650	0.0166	0.608	0.4555	0.4555
construction_rate	benefit	700	0.0048	1.0	0.4603	0.461
construction_rate	benefit	750	0.0233	0.266	0.4665	0.4665
construction_rate	benefit	800	0.0334	0.165	0.472	0.472
construction_rate	benefit	850	0.0246	0.224	0.4775	0.4775
construction_rate	benefit	900	0.0308	0.179	0.483	0.483
construction_rate	benefit	950	0.0277	0.199	0.4885	0.4885
construction_rate	benefit	1000	0.0172	0.32	0.494	0.494
construction_rate	benefit	1050	0.0359	0.153	0.4995	0.4995
construction_rate	benefit	1100	0.0124	0.444	0.505	0.505
construction_rate	benefit	1150	0.009	0.611	0.5105	0.5105
construction_rate	benefit	1200	0.0123	0.447	0.516	0.516
construction_rate	benefit	1250	0.007	0.786	0.5215	0.5215
construction_rate	benefit	1300	0.0197	0.279	0.527	0.527
construction_rate	benefit	1350	0.008	0.687	0.5325	0.5325
construction_rate	benefit	1400	0.005	1.0	0.5375	0.538
construction_rate	benefit	1450	0.017	0.353	0.5435	0.5435
construction_rate	benefit	1500	0.0056	0.982	0.549	0.549
construction_rate	benefit	1550	0.0106	0.519	0.5545	0.5545
construction_rate	benefit	1600	0.0223	0.247	0.56	0.56
construction_rate	benefit	1650	0.0355	0.155	0.5655	0.5655
construction_rate	benefit	1700	0.0314	0.175	0.571	0.571
construction_rate	benefit	1750	0.0148	0.372	0.5765	0.5765
construction_rate	benefit	1800	0.004	1.0	0.5805	0.582
construction_rate	benefit	1850	0.0142	0.622	0.5893	0.5893
construction_rate	benefit	1900	0.027	0.272	0.5967	0.5967
construction_rate	benefit	1950	0.0131	0.56	0.604	0.604
construction_rate	benefit	2000	0.005	1.0	0.609	0.6113
construction_rate	benefit	2100	0.0071	1.0	0.6161	0.626
construction_rate	benefit	2150	0.0095	1.0	0.6256	0.6333
construction_rate	benefit	2200	0.0135	1.0	0.6391	0.6407
construction_rate	benefit	2250	0.008	1.0	0.6471	0.648
construction_rate	benefit	2300	0.0195	0.422	0.6553	0.6553
construction_rate	benefit	2350	0.0165	0.444	0.6627	0.6627
construction_rate	benefit	2400	0.0146	0.502	0.67	0.67
construction_rate	benefit	2450	0.0097	1.0	0.6797	0.692
construction_rate	benefit	2500	0.0409	0.839	0.714	0.714
construction_rate	benefit	2550	0.0286	0.865	0.7388	0.7388
construction_rate	benefit	2600	0.0112	1.0	0.75	0.7635
construction_rate	cost	2600	0.001	1.0	0.001	0.308
construction_rate	benefit	2650	0.0553	0.742	0.791	0.791
construction_rate	cost	2650	0.001	1.0	0.002	0.311
construction_rate	benefit	2700	0.0125	1.0	0.8035	0.8185
construction_rate	cost	2700	0.0013	1.0	0.0033	0.314
construction_rate	benefit	2750	0.0111	1.0	0.8146	0.8488
construction_rate	benefit	2800	0.0379	1.0	0.8525	0.879
construction_rate	benefit	2850	0.0319	1.0	0.8844	0.912
construction_rate	cost	2850	0.006	1.0	0.0093	0.325
construction_rate	benefit	2900	0.0026	1.0	0.887	0.945
construction_rate	cost	2900	0.0036	1.0	0.0129	0.33
construction_rate	cost	2950	0.0023	1.0	0.0152	0.335
construction_rate	benefit	3000	0.0104	1.0	0.8974	1.0
construction_rate	cost	3000	0.004	1.0	0.0192	0.34
container_capacity	benefit	50	0.1652	1.0	0.1652	0.165
container_capacity	benefit	100	0.033	1.0	0.1982	0.198
container_capacity	benefit	150	0.01	1.0	0.2082	0.2283
container_capacity	benefit	200	0.02	1.0	0.2282	0.2585
container_capacity	benefit	250	0.0608	1.0	0.289	0.2887
container_capacity	benefit	400	0.02	1.0	0.309	0.3923
container_capacity	benefit	450	0.05	1.0	0.359	0.429
container_capacity	benefit	500	0.02	1.0	0.379	0.4693
container_capacity	benefit	600	0.08	1.0	0.459	0.55
container_capacity	benefit	750	0.0048	1.0	0.4638	0.5695
container_capacity	benefit	800	0.005	1.0	0.4688	0.576
container_capacity	benefit	850	0.007	1.0	0.4758	0.5825
container_capacity	benefit	900	0.004	1.0	0.4798	0.589
container_capacity	benefit	1000	0.009	1.0	0.4888	0.602
container_capacity	benefit	1050	0.0336	1.0	0.5224	0.6085
container_capacity	benefit	1100	0.02	1.0	0.5424	0.615
container_capacity	benefit	1150	0.007	1.0	0.5494	0.6215
container_capacity	benefit	1250	0.003	1.0	0.5524	0.6345
container_capacity	benefit	1350	0.002	1.0	0.5544	0.6475
container_capacity	benefit	1400	0.0034	1.0	0.5578	0.654
container_capacity	benefit	1450	0.0108	1.0	0.5686	0.6605
container_capacity	benefit	1500	0.006	1.0	0.5746	0.667
container_capacity	benefit	1550	0.001	1.0	0.5756	0.6735
container_capacity	benefit	1600	0.003	1.0	0.5786	0.68
container_capacity	benefit	1700	0.0042	1.0	0.5828	0.693
container_capacity	benefit	1750	0.0096	1.0	0.5924	0.6995
container_capacity	benefit	1850	0.0172	1.0	0.6096	0.7147
container_capacity	benefit	1900	0.0144	1.0	0.624	0.7233
container_capacity	benefit	1950	0.0039	1.0	0.6279	0.732
container_capacity	benefit	2000	0.0134	1.0	0.6413	0.7407
container_capacity	benefit	2050	0.0075	1.0	0.6488	0.7493
container_capacity	benefit	2100	0.0115	1.0	0.6603	0.758
container_capacity	benefit	2150	0.003	1.0	0.6633	0.7667
container_capacity	benefit	2250	0.0158	1.0	0.6791	0.784
container_capacity	benefit	2300	0.004	1.0	0.6831	0.7927
container_capacity	benefit	2350	0.005	1.0	0.6881	0.8013
container_capacity	benefit	2400	0.007	1.0	0.6951	0.81
container_capacity	benefit	2500	0.006	1.0	0.7011	0.862
container_capacity	benefit	2550	0.0198	1.0	0.7209	0.8912
container_capacity	benefit	2600	0.016	1.0	0.7369	0.9205
container_capacity	benefit	2650	0.0096	1.0	0.7465	0.953
container_capacity	benefit	2700	0.006	1.0	0.7525	0.9855
container_capacity	benefit	2750	0.004	1.0	0.7565	1.0212
container_capacity	benefit	2800	0.045	1.0	0.8015	1.057
container_capacity	benefit	2850	0.0222	1.0	0.8237	1.096
container_capacity	benefit	2900	0.008	1.0	0.8317	1.135
container_capacity	benefit	3000	0.0042	1.0	0.8359	1.2
craft_output	benefit	50	0.1352	1.0	0.1352	0.135
craft_output	benefit	100	0.0271	1.0	0.1623	0.162
craft_output	benefit	150	0.0248	1.0	0.1871	0.1867
craft_output	benefit	200	0.0248	1.0	0.2119	0.2115
craft_output	benefit	250	0.0248	1.0	0.2367	0.2362
craft_output	benefit	300	0.0248	1.0	0.2615	0.261
craft_output	benefit	350	0.03	1.0	0.2915	0.291
craft_output	benefit	400	0.03	1.0	0.3215	0.321
craft_output	benefit	450	0.0302	1.0	0.3517	0.351
craft_output	benefit	500	0.033	1.0	0.3847	0.384
craft_output	benefit	550	0.033	1.0	0.4177	0.417
craft_output	benefit	600	0.033	1.0	0.4507	0.45
craft_output	benefit	650	0.0345	0.139	0.4555	0.4555
craft_output	benefit	700	0.0136	0.404	0.461	0.461
craft_output	benefit	750	0.0124	0.444	0.4665	0.4665
craft_output	benefit	800	0.0297	0.185	0.472	0.472
craft_output	benefit	850	0.0406	0.135	0.4775	0.4775
craft_output	benefit	900	0.0177	0.311	0.483	0.483
craft_output	benefit	950	0.0194	0.284	0.4885	0.4885
craft_output	benefit	1000	0.0211	0.261	0.494	0.494
craft_output	benefit	1050	0.0317	0.174	0.4995	0.4995
craft_output	benefit	1100	0.0109	0.505	0.505	0.505
craft_output	benefit	1150	0.0194	0.284	0.5105	0.5105
craft_output	benefit	1200	0.0056	0.982	0.516	0.516
craft_output	benefit	1250	0.0085	0.647	0.5215	0.5215
craft_output	cost	1250	0.001	1.0	0.001	0.25
craft_output	benefit	1300	0.0065	0.846	0.527	0.527
craft_output	benefit	1350	0.0127	0.433	0.5325	0.5325
craft_output	benefit	1400	0.0138	0.399	0.538	0.538
craft_output	benefit	1450	0.0179	0.307	0.5435	0.5435
craft_output	benefit	1500	0.0242	0.227	0.549	0.549
craft_output	benefit	1550	0.0154	0.357	0.5545	0.5545
craft_output	benefit	1600	0.0184	0.299	0.56	0.56
craft_output	benefit	1650	0.0168	0.327	0.5655	0.5655
craft_output	benefit	1700	0.0187	0.294	0.571	0.571
craft_output	cost	1700	0.0024	1.0	0.0034	0.268
craft_output	benefit	1750	0.0333	0.165	0.5765	0.5765
craft_output	cost	1750	0.0028	1.0	0.0062	0.27
craft_output	benefit	1800	0.0199	0.276	0.582	0.582
craft_output	cost	1800	0.001	1.0	0.0072	0.272
