id,line,name,target_year,band_low,band_high,research_years,status,shared_with,key_threshold,aliases,source_file
landmark_triangulation,knowledge,Landmark alignment sighting,65,45,90,5,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
clay_counting_tokens,knowledge,Clay counting tokens: shaped tokens stand for goods,70,50,100,8,new,,yes,,docs/research/KNOWLEDGE_600_YEARS.md
specialist_task_assignment,knowledge,Specialists assigned to one craft's problems,80,60,110,5,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
drum_relay_signals,knowledge,Drum relay signals,85,60,115,4,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
focused_error_review,knowledge,Crews review a spoiled batch together,90,65,120,4,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
stamp_seals,knowledge,Stamp seals,100,75,130,6,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
material_accounting,knowledge,Store accounts by source and obligation,105,80,140,8,catalog,,,,docs/research/KNOWLEDGE_600_YEARS.md
paired_record_witnessing,knowledge,A second keeper witnesses each record,115,90,150,4,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
solar_year_reckoning,knowledge,Solar year reckoned by moons and solstice,120,90,155,10,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
fire_smoke_signaling,knowledge,Fire and smoke signals,130,100,165,4,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
cross_bearing_confirmation,knowledge,Cross-bearing confirmation,140,110,175,5,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
knotted_record_systems,knowledge,Knotted record cords,145,110,180,8,catalog,,,,docs/research/KNOWLEDGE_600_YEARS.md
marked_storage_registers,knowledge,Marked counters on sealed stores,150,115,185,6,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
token_envelopes,knowledge,Token envelopes: sealed clay balls holding tokens,160,125,200,10,new,,yes,,docs/research/KNOWLEDGE_600_YEARS.md
rotating_inspection_duty,knowledge,Rotating inspection duty,170,135,210,4,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
star_rise_markers,knowledge,Star-rise season markers,180,140,220,8,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
standardized_gesture_code,knowledge,Trade hand-sign code,190,150,230,5,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
boundary_sighting_marks,knowledge,Boundary sighting marks,200,160,240,5,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
problem_council_sessions,knowledge,Specialists' problem councils,210,170,250,5,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
tens_sixties_bundling,knowledge,Counting in fixed bundles of tens and sixties,220,180,255,8,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
impressed_number_tablets,knowledge,Impressed number tablets,225,185,260,10,new,,yes,,docs/research/KNOWLEDGE_600_YEARS.md
seasonal_news_gathering,knowledge,Travelers asked set questions for news,230,190,265,4,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
rod_and_cord_leveling,knowledge,Rod-and-cord levelling,240,200,275,6,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
attention_priority_signals,knowledge,Work-priority markers,245,205,280,4,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
pictographic_records,knowledge,Picture-sign records (proto-writing),255,215,290,20,catalog,,yes,,docs/research/KNOWLEDGE_600_YEARS.md
cylinder_seals,knowledge,Cylinder seals,260,220,295,6,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
clay_record_tablets,knowledge,Clay record tablets,270,230,300,8,catalog,,,,docs/research/KNOWLEDGE_600_YEARS.md
standard_sign_lists,knowledge,Standard sign lists,280,240,310,10,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
scribal_apprenticeship,knowledge,Scribal apprenticeship,290,250,320,8,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
agreed_signal_codes,knowledge,Agreed signal codes,300,260,330,6,catalog,,,,docs/research/KNOWLEDGE_600_YEARS.md
archive_shelving_order,knowledge,Tablets shelved by subject,310,280,340,5,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
balance_beam_weights,knowledge,Balance beam and standard weights,320,290,350,10,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
messenger_relay_stations,knowledge,Messenger relays on fixed stages,330,300,360,6,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
sealed_tablet_contracts,knowledge,Sealed tablet receipts and contracts,340,310,370,8,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
dedicated_apprentice_observation,knowledge,Masters observe apprentices at set hours,350,320,380,5,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
phonetic_notation,knowledge,Sound-signs: rebus spelling of names and words,360,320,400,20,catalog,,yes,,docs/research/KNOWLEDGE_600_YEARS.md
plumb_line_sighting,knowledge,Plumb line and sighting pole,370,340,400,6,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
star_rising_civil_year,knowledge,365-day civil year from star rising,380,350,410,12,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
written_lore_tablets,knowledge,Recited lore copied onto tablets,390,360,420,10,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
written_apprentice_instructions,knowledge,Written instructions to apprentices,395,360,425,6,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
workshop_standards,knowledge,Workshop standards and named grades,400,360,430,8,catalog,,,,docs/research/KNOWLEDGE_600_YEARS.md
formal_archives,knowledge,Tablet archives,405,370,440,12,catalog,,yes,,docs/research/KNOWLEDGE_600_YEARS.md
cross_referenced_archives,knowledge,Cross-referenced archives,410,380,445,6,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
formal_chronicle_keeping,knowledge,Year names and event lists,415,380,450,8,era,culture,,,docs/research/KNOWLEDGE_600_YEARS.md
public_schools,knowledge,Tablet houses (scribal schools),420,385,460,15,catalog,,yes,,docs/research/KNOWLEDGE_600_YEARS.md
sealed_tablet_letters,knowledge,Sealed tablet letters,425,390,460,6,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
intercalated_calendar,knowledge,Administrative calendar with an added month,430,395,470,10,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
bilingual_sign_lists,knowledge,Bilingual sign lists,440,400,480,8,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
sworn_interpreters,knowledge,Sworn interpreters,445,405,480,5,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
geometric_survey,knowledge,Rope-stretcher field survey,450,410,490,10,catalog,,,,docs/research/KNOWLEDGE_600_YEARS.md
water_trough_leveling,knowledge,Water-trough levelling,460,420,500,6,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
scribal_specialties,knowledge,"Scribal specialties: surveyor, accountant, letter-writer",465,425,500,6,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
area_volume_rules,knowledge,Field-area and grain-volume rules,470,430,510,10,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
sightline_corridor_marking,knowledge,Sightline corridors kept clear,475,435,510,4,era,,,,docs/research/KNOWLEDGE_600_YEARS.md
star_hour_tables,knowledge,Star-hour tables for the night,480,440,520,10,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
reciprocal_tables,knowledge,Multiplication and reciprocal tables,485,445,520,12,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
tablet_colophons,knowledge,"Colophons: scribe, date and source on each tablet",490,450,530,5,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
scribal_copying_tests,knowledge,Tablet-house exercises and copying tests,500,460,540,6,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
place_value,knowledge,Place-value reckoning,510,470,550,20,catalog,,yes,,docs/research/KNOWLEDGE_600_YEARS.md
fractional_quantities,knowledge,Unit fractions and parts,520,480,560,10,catalog,,,,docs/research/KNOWLEDGE_600_YEARS.md
worked_problem_tablets,knowledge,Worked-problem teaching tablets,530,490,570,8,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
regional_maps,knowledge,Clay plans of fields and towns,540,500,580,10,catalog,,,,docs/research/KNOWLEDGE_600_YEARS.md
square_root_tables,knowledge,Square and root tables,545,505,585,10,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
prearranged_beacon_chains,knowledge,Beacon chains by prior arrangement,550,510,590,6,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
consonantal_alphabet,knowledge,Consonant sign-set (early alphabet; regional),560,520,620,20,new,,yes,,docs/research/KNOWLEDGE_600_YEARS.md
dated_omen_records,knowledge,Dated sky-omen records,570,530,610,10,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
shadow_clock,knowledge,Shadow clock,580,540,620,8,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
outflow_water_clock,knowledge,Outflow water clock,590,550,630,10,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
checked_master_copies,knowledge,Checked master copies of key tablets,600,560,640,6,new,,,,docs/research/KNOWLEDGE_600_YEARS.md
seasonal_duty_rosters,institutions,Seasonal duty rosters,2,0,5,1.5,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
council_messenger_duty,institutions,Council messengers call households to a gathering,3,0,6,1.5,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
dissenting_voice_custom,institutions,Any adult may speak against a proposal,4,0,8,1.5,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
leader_gift_redistribution,institutions,The headman gives back what is brought to him,5,1,10,2,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
household_task_ledgers,institutions,Household task tallies,6,2,10,2,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
witnessed_agreement_customs,institutions,Agreements bind only when spoken before witnesses,7,2,12,2,era,culture,,,docs/research/INSTITUTIONS_600_YEARS.md
elder_consultation_rites,institutions,Elders consulted before a hard decision,8,3,14,2,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
household_councils,institutions,Household councils: one recognized speaker per household,10,4,16,3,catalog,,,,docs/research/INSTITUTIONS_600_YEARS.md
elder_council_assent,institutions,Elders must assent before a decision binds,12,5,20,3,era,culture,,,docs/research/INSTITUTIONS_600_YEARS.md
seasonal_tribute_counts,institutions,Seasonal counts of what each household brought,14,6,22,3,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
consensus_amendment_custom,institutions,A custom changes only by open agreement,16,8,25,2,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
lineage_land_tenure,institutions,Fields and pastures held by lineage,18,8,28,3,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
blood_price,institutions,Injury paid for in goods (blood-price),20,10,30,3,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
seasonal_crisis_leader,institutions,A leader chosen for a season of need,24,12,35,3,new,security,,security@170: War leader chosen for one fighting season,docs/research/INSTITUTIONS_600_YEARS.md
petition_speakers,institutions,Speakers carry household petitions to the living god,28,15,40,3,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
banishment_sentence,institutions,Casting out as the gravest sentence,30,18,45,3,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
customary_law,institutions,Customary law: remembered judgments bind later ones,35,20,50,5,catalog,,,,docs/research/INSTITUTIONS_600_YEARS.md
public_stores,institutions,Common store kept under watch,40,25,55,4,catalog,nutrition,,,docs/research/INSTITUTIONS_600_YEARS.md
household_mediators,institutions,Go-betweens mediate quarrels between households,45,30,60,3,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
exculpatory_oath,institutions,Oath before the god to settle an unwitnessed claim,55,40,75,4,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
customary_inheritance_shares,institutions,Inheritance shares divided among heirs by custom,60,45,80,4,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
field_boundary_markers,institutions,Field edges marked with stones and ditches,65,45,85,4,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
labor_debt_tallies,institutions,Labor-debt tallies: who owes whom a day's work,70,50,90,4,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
leader_feast_obligations,institutions,Feasts owed by leaders to their followers,75,55,95,4,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
public_grain_weighing,institutions,Grain for the store weighed in public,80,60,100,3,era,culture,,,docs/research/INSTITUTIONS_600_YEARS.md
harvest_offering_shares,institutions,Set shares of the harvest offered to the god,85,60,110,5,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
public_praise_assemblies,institutions,Public praise of faithful service,90,65,115,3,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
trial_custom_periods,institutions,New customs tried for a season first,95,70,120,3,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
boundary_oath_rituals,institutions,Boundary oaths sworn at the marker stones,100,75,125,4,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
rotating_stewardship,institutions,Stewardship of the store passes in turn,105,80,130,4,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
probationary_appointment_custom,institutions,New officeholders serve a trial term,110,85,135,3,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
temple_common_storehouse,institutions,The god's house as common storehouse: offerings kept and reissued,115,85,150,8,new,,yes,,docs/research/INSTITUTIONS_600_YEARS.md
boundary_marker_surveys,institutions,Boundary marker surveys,120,90,150,4,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
public_dispute_airing,institutions,Grievances aired before the assembled settlement,125,95,155,3,era,culture,,,docs/research/INSTITUTIONS_600_YEARS.md
offering_keepers,institutions,Keepers appointed over the god's offerings,130,100,160,5,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
intervillage_tribute_reconciliation,institutions,Villages reconcile their tribute counts,135,105,165,5,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
paramount_chiefdom,institutions,Paramount chief over several villages,140,100,185,10,new,,yes,,docs/research/INSTITUTIONS_600_YEARS.md
mediated_restitution_custom,institutions,Restitution settled through a mediator,145,110,175,4,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
shared_labor_registers,institutions,Shared-labor registers,150,115,180,4,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
sunset_rule_custom,institutions,Rules that lapse unless renewed each season,152,115,185,3,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
rotating_speaker_order,institutions,Council speakers take turns in a set order,154,115,190,2,era,culture,,,docs/research/INSTITUTIONS_600_YEARS.md
standing_arbiter_appointment,institutions,A standing arbiter appointed,157,120,190,5,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
seal_breaking_rights,institutions,Only named keepers may break a store seal,165,125,200,4,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
temple_ration_issue,institutions,The god's house issues rations to its workers,170,130,205,6,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
work_gang_overseers,institutions,Overseers of work gangs for canals and building,180,140,215,6,new,labor,,,docs/research/INSTITUTIONS_600_YEARS.md
hereditary_chiefly_rank,institutions,Chiefly lineages: rank passes by birth,190,150,230,8,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
free_adult_assembly,institutions,Assembly of all free adults for grave matters,200,160,240,5,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
grain_levy_accounting,institutions,Grain levy accounting,210,170,245,6,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
tributary_villages,institutions,Subject villages bring tribute at set seasons,215,175,250,6,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
public_grievance_hearings,institutions,Standing grievance hearings,225,185,260,4,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
regional_arbitration_circuits,institutions,Arbiters travel a circuit of villages,240,200,275,6,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
formal_oath_taking,institutions,Formal oath-taking at the god's house,245,205,280,4,era,culture,,,docs/research/INSTITUTIONS_600_YEARS.md
council_reformation_practice,institutions,Councils reform their own procedure,255,215,290,5,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
temple_high_steward,institutions,High steward of the god's house leads the town,260,215,305,12,new,,yes,,docs/research/INSTITUTIONS_600_YEARS.md
cross_household_grain_audits,institutions,Households audit each other's grain,265,225,300,5,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
oath_witness_registers,institutions,Registers of who witnessed each oath,268,225,305,5,era,culture,,,docs/research/INSTITUTIONS_600_YEARS.md
regional_levy_coordination,institutions,Levies coordinated across a district,272,230,310,6,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
worker_ration_lists,institutions,Ration lists by worker and month,280,240,315,6,new,knowledge;labor;demography,,labor@290: Named ration lists of dependent workers ; demography@310: Ration lists naming each worker,docs/research/INSTITUTIONS_600_YEARS.md
appeal_reopening_custom,institutions,A settled case may be reopened on appeal,285,245,320,4,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
succession_naming_rites,institutions,Heir named in public before the elders,288,245,325,5,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
census_rolls,institutions,Household census rolls,295,250,335,8,catalog,demography,,demography@330: Household census rolls by name,docs/research/INSTITUTIONS_600_YEARS.md
public_levies,institutions,Scheduled public levies of labor and goods,300,255,340,8,catalog,labor,,labor@330: Seasonal corvée levy for canals and walls,docs/research/INSTITUTIONS_600_YEARS.md
titled_estate_overseers,institutions,"Titled overseers of fields, granary and works",310,280,345,6,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
witnessed_land_sales,institutions,Fields sold before witnesses with their bounds recited,320,285,355,6,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
fixed_interest_loans,institutions,Loans of grain and silver at fixed interest,330,295,365,8,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
separate_temple_palace_stores,institutions,Temple and palace households keep separate stores,345,310,380,8,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
cross_settlement_registries,institutions,Registers shared between settlements,355,320,390,6,era,demography,,demography@362: Settlements exchange household counts,docs/research/INSTITUTIONS_600_YEARS.md
kingship,institutions,Kingship: the war-leader rules for life,365,320,410,15,new,,yes,,docs/research/INSTITUTIONS_600_YEARS.md
ceremonial_investiture,institutions,Officials invested before the god,375,340,410,5,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
assembly_petition_rights,institutions,Right to petition the assembly,378,340,415,5,era,culture,,,docs/research/INSTITUTIONS_600_YEARS.md
provincial_governors,institutions,Governors over subject towns,385,350,420,10,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
public_heralds,institutions,Heralds proclaim decisions in the square,390,355,425,4,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
codified_tribute_schedules,institutions,Tribute schedules fixed by amount and date,400,360,440,8,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
specialized_courts,institutions,Specialized courts: judges by kind of dispute,405,365,445,10,catalog,,,,docs/research/INSTITUTIONS_600_YEARS.md
boundary_treaties,institutions,Boundary treaty between towns sworn before the gods,410,370,450,8,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
dynastic_succession,institutions,Rule passes to a named heir of the ruling house,415,375,455,8,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
precedent_review_councils,institutions,Councils review past judgments as precedent,420,380,460,6,era,,,,docs/research/INSTITUTIONS_600_YEARS.md
proclaimed_standard_weights,institutions,Standard weights proclaimed and checked by officials,425,385,465,6,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
debt_release_edicts,institutions,Debt-release proclamations,430,390,470,8,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
foreign_treaties,institutions,Sworn treaty with a foreign ruler on trade and peace,440,400,480,8,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
sealed_travel_passes,institutions,Ruler's messengers carry sealed passes and road rations,445,405,485,6,new,logistics,,,docs/research/INSTITUTIONS_600_YEARS.md
temple_estates,institutions,Estates of the god's house worked by tenants and dependents,455,415,495,8,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
area_harvest_assessment,institutions,Harvest dues assessed by field area,460,420,500,8,new,nutrition,,,docs/research/INSTITUTIONS_600_YEARS.md
royal_inscriptions,institutions,Inscriptions declare the ruler's works and justice,465,425,505,6,new,culture,,,docs/research/INSTITUTIONS_600_YEARS.md
written_law_code,institutions,Written law collection with set penalties by case,480,435,525,15,new,,yes,,docs/research/INSTITUTIONS_600_YEARS.md
sworn_judges,institutions,Judges sworn to the god on taking office,485,445,525,5,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
sworn_trial_testimony,institutions,Sworn witnesses and written testimony at trial,490,450,530,6,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
provincial_accounts,institutions,Provinces send yearly accounts to the capital,500,460,540,8,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
sealed_family_contracts,institutions,"Adoption, marriage and inheritance by sealed contract",510,470,550,6,new,demography,,demography@500: Sealed marriage contracts on tablets ; demography@510: Adoption contracts,docs/research/INSTITUTIONS_600_YEARS.md
caravan_tolls,institutions,Tolls on caravans at frontier posts,515,475,555,6,new,logistics,,,docs/research/INSTITUTIONS_600_YEARS.md
property_registers,institutions,Property registers,525,485,565,10,catalog,,,,docs/research/INSTITUTIONS_600_YEARS.md
town_mayors,institutions,Town mayors and elders answer to the governor,530,490,570,6,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
royal_appeal_court,institutions,Appeal from local judges to the ruler's court,535,495,575,6,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
price_wage_schedules,institutions,Price and wage schedules proclaimed,540,500,580,8,new,labor,,labor@530: Hire rates set by trade and skill,docs/research/INSTITUTIONS_600_YEARS.md
licensed_merchant_houses,institutions,Merchant houses licensed to trade abroad,545,505,585,8,new,logistics,,,docs/research/INSTITUTIONS_600_YEARS.md
public_law_stele,institutions,Law set up in stone in a public place,550,505,595,10,new,,yes,,docs/research/INSTITUTIONS_600_YEARS.md
service_land_grants,institutions,Land granted in return for service,555,515,595,10,new,security,,,docs/research/INSTITUTIONS_600_YEARS.md
jurisdiction_boundaries,institutions,Jurisdiction boundaries: which court and governor rules each district,560,520,600,10,catalog,,,,docs/research/INSTITUTIONS_600_YEARS.md
workshop_quotas,institutions,Palace and temple workshops given quotas,570,530,610,8,new,production,,,docs/research/INSTITUTIONS_600_YEARS.md
circuit_inspectors,institutions,Inspectors ride circuit over the governors,580,540,620,6,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
standard_royal_letters,institutions,Ruler's letters to governors answered in a set form,590,550,630,6,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
service_land_registers,institutions,Service-land registers checked against census rolls,600,560,640,8,new,,,,docs/research/INSTITUTIONS_600_YEARS.md
shared_hearth_gatherings,culture,Shared hearth gatherings,1,0,3,1,era,,,,docs/research/CULTURE_600_YEARS.md
communal_work_songs,culture,Communal work songs,2,0,5,1.5,era,labor,,labor@20: Communal work songs,docs/research/CULTURE_600_YEARS.md
oral_epics,culture,Oral epics: trained reciters keep long accounts,3,0,6,2,catalog,,,,docs/research/CULTURE_600_YEARS.md
genealogical_recitation,culture,Elders recite each household's lineage,4,0,8,2,era,demography,,demography@8: Lineages recited at gatherings,docs/research/CULTURE_600_YEARS.md
named_landmark_lore,culture,Every notable rock and spring has a naming story,5,0,10,1.5,era,,,,docs/research/CULTURE_600_YEARS.md
curious_questioning_custom,culture,Children praised for asking why,6,1,12,2,era,,,,docs/research/CULTURE_600_YEARS.md
bone_flutes_drums,culture,Bone flutes and hand drums at gatherings,7,2,12,2,new,,,,docs/research/CULTURE_600_YEARS.md
circle_dances,culture,Circle dances at gatherings,8,2,14,2,new,,,,docs/research/CULTURE_600_YEARS.md
house_floor_burial,culture,The dead buried beneath the house floor,9,3,15,2,new,,,,docs/research/CULTURE_600_YEARS.md
ochre_grave_goods,culture,Red ochre and grave goods for the dead,10,3,16,2,new,,,,docs/research/CULTURE_600_YEARS.md
kin_body_ornament,culture,"Body paint, shell and bead ornament marking kin",12,4,20,2,new,,,,docs/research/CULTURE_600_YEARS.md
hearth_shrine_offerings,culture,Offerings to the living god at the hearth-shrine,14,5,22,2,new,,,,docs/research/CULTURE_600_YEARS.md
plastered_ancestor_skulls,culture,Ancestor skulls plastered and kept in the house,16,6,25,3,new,,,,docs/research/CULTURE_600_YEARS.md
mourning_days,culture,Mourning days of wailing and fasting,18,8,28,2,new,,,,docs/research/CULTURE_600_YEARS.md
festival_calendar,culture,Seasonal festival calendar,20,8,30,3,catalog,,,,docs/research/CULTURE_600_YEARS.md
reciprocal_gift_exchange,culture,Gifts given and returned bind households,25,12,35,2,new,,,,docs/research/CULTURE_600_YEARS.md
origin_story,culture,Origin story: how the people and their god came to this land,28,14,40,4,new,,,,docs/research/CULTURE_600_YEARS.md
pottery_style_identity,culture,Pottery motifs that mark a people,30,16,45,3,new,production,,,docs/research/CULTURE_600_YEARS.md
ancestor_figurines,culture,Clay figurines of ancestors,32,18,48,3,new,,,,docs/research/CULTURE_600_YEARS.md
pit_pebble_game,culture,Pit-and-pebble counting game,35,20,50,2,new,,,,docs/research/CULTURE_600_YEARS.md
first_fruits_offering,culture,First fruits offered to the god before the harvest is eaten,38,22,55,2,new,,,,docs/research/CULTURE_600_YEARS.md
winter_tale_nights,culture,Winter tale nights,40,25,60,2,new,,,,docs/research/CULTURE_600_YEARS.md
named_star_figures,culture,Star figures named in stories,45,28,65,3,new,,,,docs/research/CULTURE_600_YEARS.md
shrine_wall_painting,culture,Painted walls in shrine rooms,50,32,70,4,new,,,,docs/research/CULTURE_600_YEARS.md
ritual_masks_costumes,culture,Masks and costumes for rites,55,35,75,3,new,,,,docs/research/CULTURE_600_YEARS.md
sacred_places,culture,"Sacred places set apart: spring, grove, high rock",60,40,80,3,new,,,,docs/research/CULTURE_600_YEARS.md
