id	line	design_year	effect	before	after
oral_epics	culture	3	cohesion	0.021	0.0112
oral_epics	culture	3	knowledge_preservation	0.017	0.0111
relay_call_stations	knowledge	3	task_coordination	0.002	0.001
relay_call_stations	knowledge	3	travel_speed	0.01	0.005
sickness_pattern_memory	health	3	disease_exposure	-0.015	-0.0043
sickness_pattern_memory	health	3	knowledge_preservation	0.0068	0.0045
timber_grading	ecology	3	construction_rate	0.03	0.0087
timber_grading	ecology	3	storage_loss	-0.02	-0.0122
aptitude_trials	labor	4	knowledge_preservation	0.0034	0.0022
aptitude_trials	labor	4	labor_efficiency	0.0093	0.0046
controlled_flaking	production	4	tool_quality	0.07	0.0227
dawn_readiness_drill	security	4	security_efficiency	0.0096	0.0082
dawn_readiness_drill	security	4	warfare_readiness	0.0081	0.0062
dissenting_voice_custom	institutions	4	cohesion	0.002	0.0011
drainage	infrastructure	4	disaster_resilience	0.04	0.0201
drainage	infrastructure	4	disease_exposure	-0.05	-0.0144
drainage	infrastructure	4	health_protection	0.04	0.0097
fever_watch_customs	demography	4	disease_exposure	-0.01	-0.0029
fever_watch_customs	demography	4	neonatal_survival	0.025	0.0086
fiber_grading	ecology	4	survey_speed	0.02	0.01
genealogical_recitation	culture	4	knowledge_preservation	0.0048	0.0031
paired_carrier_balancing	logistics	4	fatigue	-0.02	-0.005
paired_carrier_balancing	logistics	4	haul_capacity	0.0095	0.0036
sleeping_area_rotation	demography	4	cohesion	0.0058	0.0031
sleeping_area_rotation	demography	4	health_protection	0.0176	0.0043
symptom_sharing_customs	health	4	health_protection	0.022	0.0053
symptom_sharing_customs	health	4	knowledge_preservation	0.0051	0.0033
tool_hazard_awareness	health	4	health_protection	0.0132	0.0032
tool_hazard_awareness	health	4	injury_risk	-0.0172	-0.0061
common_path_alignment	logistics	5	cohesion	0.0051	0.0027
common_path_alignment	logistics	5	route_speed	0.02	0.0103
counting_words	knowledge	5	knowledge_preservation	0.0064	0.0042
counting_words	knowledge	5	task_coordination	0.0042	0.0021
edge_resharpening_rounds	production	5	tool_quality	0.025	0.0081
emergency_food_caching	security	5	disaster_risk	-0.0136	-0.0115
emergency_food_caching	security	5	food_storage	0.02	0.0084
food_pounding_mortars	nutrition	5	neonatal_survival	0.008	0.0028
food_pounding_mortars	nutrition	5	nutrition_quality	0.008	0.0044
guest_host_reciprocity	logistics	5	cohesion	0.0039	0.0021
guest_host_reciprocity	logistics	5	trade_capacity	0.0133	0.0132
infant_swaddling_practice	demography	5	health_protection	0.0095	0.0023
infant_swaddling_practice	demography	5	injury_risk	-0.0189	-0.0067
infant_swaddling_practice	demography	5	neonatal_survival	0.03	0.0103
leader_gift_redistribution	institutions	5	cohesion	0.002	0.0011
named_landmark_lore	culture	5	knowledge_preservation	0.0022	0.0014
named_landmark_lore	culture	5	travel_speed	0.01	0.005
nut_kernel_shelling	nutrition	5	foraging_yield	0.02	0.0183
nut_kernel_shelling	nutrition	5	nutrition_quality	0.005	0.0027
paired_task_assignment	labor	5	injury_risk	-0.0086	-0.003
paired_task_assignment	labor	5	labor_efficiency	0.0093	0.0046
quarry_reading	ecology	5	survey_speed	0.03	0.015
turbidity_judging	health	5	disease_exposure	-0.01	-0.0029
turbidity_judging	health	5	water_safety	0.025	0.0093
birth_spacing_customs	demography	6	maternal_safety	0.03	0.0093
birth_spacing_customs	demography	6	neonatal_survival	0.02	0.0069
cordage	production	6	construction_rate	0.04	0.0115
cordage	production	6	haul_capacity	0.08	0.0303
cordage	production	6	tool_quality	0.02	0.0065
curious_questioning_custom	culture	6	cohesion	0.002	0.0011
curious_questioning_custom	culture	6	knowledge_preservation	0.0032	0.0021
delousing	health	6	cohesion	0.004	0.0021
delousing	health	6	disease_exposure	-0.008	-0.0023
delousing	health	6	health_protection	0.006	0.0015
food_drying	nutrition	6	food_spoilage	-0.1	-0.0571
food_drying	nutrition	6	food_storage	0.1	0.042
refuge_point_marking	security	6	disaster_risk	-0.009	-0.0076
refuge_point_marking	security	6	security_efficiency	0.0144	0.0123
rest_break_timing	labor	6	fatigue	-0.03	-0.0075
rest_break_timing	labor	6	labor_efficiency	0.0093	0.0046
sightline_staking	infrastructure	6	construction_rate	0.02	0.0058
sightline_staking	infrastructure	6	survey_speed	0.02	0.01
streambank_vegetation_watch	ecology	6	soil_productivity	0.015	0.0106
vermin_deterrent_placement	logistics	6	food_storage	0.01	0.0042
vermin_deterrent_placement	logistics	6	storage_loss	-0.02	-0.0122
weather_sign_reading	knowledge	6	survey_speed	0.02	0.01
weather_sign_reading	knowledge	6	task_coordination	0.002	0.001
bone_flutes_drums	culture	7	cohesion	0.0039	0.0021
bone_flutes_drums	culture	7	fatigue	-0.005	-0.0013
hafted_tools	production	7	construction_rate	0.05	0.0144
hafted_tools	production	7	tool_quality	0.1	0.0324
hafted_tools	production	7	warfare_readiness	0.02	0.0154
hafted_weapons	security	7	craft_output	0.01	0.0043
hafted_weapons	security	7	tool_quality	0.02	0.0065
hafted_weapons	security	7	warfare_readiness	0.0202	0.0155
hide_floats	logistics	7	haul_capacity	0.0071	0.0027
hide_floats	logistics	7	injury_risk	-0.005	-0.0018
hide_floats	logistics	7	route_speed	0.0108	0.0056
hide_floats	logistics	7	travel_speed	0.01	0.005
postpartum_seclusion_care	demography	7	health_protection	0.019	0.0046
postpartum_seclusion_care	demography	7	maternal_safety	0.03	0.0093
seed_selection	nutrition	7	cultivation_yield	0.16	0.0762
seed_selection	nutrition	7	nutrition_quality	0.02	0.011
seed_selection	nutrition	7	soil_productivity	0.03	0.0212
witnessed_agreement_customs	institutions	7	cohesion	0.002	0.0011
basketry	production	8	craft_output	0.02	0.0086
basketry	production	8	dry_storage	0.1	0.054
basketry	production	8	food_storage	0.05	0.021
basketry	production	8	haul_capacity	0.07	0.0265
circle_dances	culture	8	cohesion	0.0039	0.0021
circle_dances	culture	8	fatigue	-0.005	-0.0013
dry_cache_siting	logistics	8	dry_storage	0.02	0.0108
dry_cache_siting	logistics	8	food_storage	0.01	0.0042
dry_cache_siting	logistics	8	storage_loss	-0.02	-0.0122
elder_consultation_rites	institutions	8	cohesion	0.0026	0.0014
hazard_memory_recitation	security	8	disaster_risk	-0.0056	-0.0047
hazard_memory_recitation	security	8	knowledge_preservation	0.0068	0.0045
hearth_roasting_control	nutrition	8	disease_exposure	-0.01	-0.0029
hearth_roasting_control	nutrition	8	nutrition_quality	0.015	0.0082
herbal_classification	health	8	disease_exposure	-0.04	-0.0115
herbal_classification	health	8	health_protection	0.05	0.0121
herbal_classification	health	8	observation_rate	0.03	0.0156
novice_task_shadowing	knowledge	8	fatigue	-0.01	-0.0025
novice_task_shadowing	knowledge	8	labor_efficiency	0.0093	0.0046
shared_work_signals	labor	8	labor_efficiency	0.0065	0.0032
shared_work_signals	labor	8	task_coordination	0.0056	0.0028
site_clearing_assessment	infrastructure	8	construction_rate	0.02	0.0058
bow_craft	security	9	craft_output	0.02	0.0086
bow_craft	security	9	warfare_readiness	0.0283	0.0218
contagion_avoidance_customs	health	9	disease_exposure	-0.03	-0.0086
contagion_avoidance_customs	health	9	health_protection	0.019	0.0046
fallow_thicket_regrowth	ecology	9	foraging_yield	0.015	0.0137
notched_measuring_rods	production	9	craft_output	0.01	0.0043
notched_measuring_rods	production	9	standardization	0.025	0.0196
seasonal_protein_sourcing	nutrition	9	nutrition_quality	0.03	0.0164
carrying_poles	logistics	10	fatigue	-0.015	-0.0038
carrying_poles	logistics	10	haul_capacity	0.0142	0.0054
hide_smoke_curing	production	10	craft_output	0.003	0.0013
hide_smoke_curing	production	10	health_protection	0.0035	0.0008
hide_smoke_curing	production	10	storage_loss	-0.01	-0.0061
household_councils	institutions	10	cohesion	0.037	0.0197
household_task_ledgers	institutions	10	labor_efficiency	0.013	0.0064
household_task_ledgers	institutions	10	task_coordination	0.0024	0.0012
infant_carrying_slings	demography	10	injury_risk	-0.004	-0.0014
infant_carrying_slings	demography	10	labor_efficiency	0.008	0.004
infant_carrying_slings	demography	10	neonatal_survival	0.012	0.0041
joinery	infrastructure	10	construction_rate	0.09	0.026
joinery	infrastructure	10	housing_output	0.07	0.0221
joinery	infrastructure	10	tool_quality	0.03	0.0097
midden_siting_away_from_water	ecology	10	water_safety	0.02	0.0074
seasonal_work_round	labor	10	labor_demand	-0.015	-0.0144
seasonal_work_round	labor	10	labor_efficiency	0.0022	0.0011
seasonal_work_round	labor	10	task_coordination	0.0075	0.0037
sparring_customs	security	10	injury_risk	-0.0094	-0.0033
sparring_customs	security	10	warfare_readiness	0.0121	0.0093
splint_and_bracing_technique	health	10	health_protection	0.019	0.0046
splint_and_bracing_technique	health	10	injury_risk	-0.0283	-0.01
tallies	knowledge	10	knowledge_preservation	0.042	0.0275
tallies	knowledge	10	task_coordination	0.035	0.0174
varied_forage_rotation	nutrition	10	foraging_yield	0.02	0.0183
varied_forage_rotation	nutrition	10	nutrition_quality	0.03	0.0164
batch_task_grouping	production	11	craft_output	0.02	0.0086
batch_task_grouping	production	11	labor_efficiency	0.0065	0.0032
dietary_healing_regimens	health	11	health_protection	0.0284	0.0069
dietary_healing_regimens	health	11	nutrition_quality	0.02	0.011
smoking	nutrition	11	food_spoilage	-0.12	-0.0686
smoking	nutrition	11	food_storage	0.12	0.0505
topsoil_depth_reading	ecology	11	soil_productivity	0.02	0.0141
birth_attendants	health	12	knowledge_preservation	0.02	0.0131
birth_attendants	health	12	maternal_safety	0.1	0.031
birth_attendants	health	12	neonatal_survival	0.06	0.0207
clay_testing	production	12	survey_speed	0.03	0.015
distance_call_signals	knowledge	12	survey_speed	0.01	0.005
distance_call_signals	knowledge	12	task_coordination	0.0024	0.0012
elder_council_assent	institutions	12	cohesion	0.002	0.0011
kin_body_ornament	culture	12	cohesion	0.0039	0.0021
root_grating_dewatering	nutrition	12	foraging_yield	0.015	0.0137
root_grating_dewatering	nutrition	12	nutrition_quality	0.004	0.0022
shared_childcare	demography	12	labor_efficiency	0.025	0.0124
shared_childcare	demography	12	neonatal_survival	0.05	0.0172
task_sequencing_habits	labor	12	fatigue	-0.01	-0.0025
task_sequencing_habits	labor	12	labor_efficiency	0.0131	0.0065
trail_waymarking	logistics	12	route_speed	0.0161	0.0083
trail_waymarking	logistics	12	travel_speed	0.02	0.01
war_slings	security	12	security_efficiency	0.0048	0.0041
war_slings	security	12	warfare_readiness	0.0121	0.0093
well_siting	infrastructure	12	construction_rate	0.02	0.0058
well_siting	infrastructure	12	health_protection	0.05	0.0121
well_siting	infrastructure	12	water_safety	0.09	0.0335
burn_scar_regrowth_tracking	ecology	13	foraging_yield	0.015	0.0137
clay_shaping	production	13	container_capacity	0.1	0.0413
clay_shaping	production	13	craft_output	0.02	0.0086
clay_shaping	production	13	food_storage	0.07	0.0294
clay_shaping	production	13	water_safety	0.03	0.0112
household_water_boiling	health	13	disease_exposure	-0.02	-0.0058
household_water_boiling	health	13	water_safety	0.03	0.0112
pest_deterrent_storage_herbs	nutrition	13	food_storage	0.02	0.0084
pest_deterrent_storage_herbs	nutrition	13	storage_loss	-0.03	-0.0182
clay_lined_storage_pits	infrastructure	14	dry_storage	0.03	0.0162
clay_lined_storage_pits	infrastructure	14	food_spoilage	-0.02	-0.0114
clay_lined_storage_pits	infrastructure	14	food_storage	0.04	0.0168
clay_lined_storage_pits	infrastructure	14	storage_loss	-0.03	-0.0182
cookfire_smoke_venting_habit	ecology	14	disease_exposure	-0.015	-0.0043
extended_family_room_division	demography	14	cohesion	0.01	0.0053
extended_family_room_division	demography	14	housing_output	0.02	0.0063
hearth_shrine_offerings	culture	14	cohesion	0.0026	0.0014
midday_heat_rest	labor	14	fatigue	-0.0105	-0.0026
midday_heat_rest	labor	14	injury_risk	-0.008	-0.0028
river_craft	logistics	14	food_output	0.01	0.0093
river_craft	logistics	14	haul_capacity	0.0189	0.0072
river_craft	logistics	14	route_speed	0.0215	0.0111
river_craft	logistics	14	trade_capacity	0.0133	0.0132
seasonal_tribute_counts	institutions	14	task_coordination	0.002	0.001
snakebite_treatment	health	14	health_protection	0.004	0.001
snakebite_treatment	health	14	injury_risk	-0.008	-0.0028
woven_carriers	production	14	dry_storage	0.04	0.0216
woven_carriers	production	14	haul_capacity	0.1	0.0379
woven_carriers	production	14	travel_speed	0.02	0.01
bone_needle_sewing	production	15	craft_output	0.003	0.0013
bone_needle_sewing	production	15	health_protection	0.007	0.0017
cairn_sightline_marking	knowledge	15	survey_speed	0.02	0.01
cairn_sightline_marking	knowledge	15	travel_speed	0.01	0.005
flood_mark_reading	infrastructure	15	disaster_risk	-0.0178	-0.015
flood_mark_reading	infrastructure	15	knowledge_preservation	0.0051	0.0033
fruit_pulp_screening	nutrition	15	food_spoilage	-0.005	-0.0029
fruit_pulp_screening	nutrition	15	nutrition_quality	0.004	0.0022
hide_wicker_shields	security	15	injury_risk	-0.01	-0.0035
hide_wicker_shields	security	15	warfare_readiness	0.0081	0.0062
animal_taming	nutrition	16	food_output	0.026	0.0241
children_light_tasks	labor	16	food_output	0.005	0.0046
children_light_tasks	labor	16	labor_demand	-0.012	-0.0115
children_light_tasks	labor	16	labor_efficiency	0.0011	0.0005
consensus_amendment_custom	institutions	16	cohesion	0.004	0.0021
consensus_amendment_custom	institutions	16	task_coordination	0.002	0.001
ground_stone_axes	production	16	construction_rate	0.003	0.0009
ground_stone_axes	production	16	tool_quality	0.008	0.0026
herd_size_limits	ecology	16	food_output	0.015	0.0139
joint_reduction	health	16	injury_risk	-0.008	-0.0028
joint_reduction	health	16	labor_efficiency	0.006	0.003
lineage_exogamy	demography	16	cohesion	0.006	0.0032
lineage_exogamy	demography	16	neonatal_survival	0.006	0.0021
trade_partner_tokens	logistics	16	cohesion	0.0051	0.0027
trade_partner_tokens	logistics	16	trade_capacity	0.0133	0.0132
soil_exhaustion_recognition	nutrition	17	cultivation_yield	0.015	0.0071
soil_exhaustion_recognition	nutrition	17	soil_productivity	0.02	0.0141
adobe_wall_construction	infrastructure	18	construction_rate	0.0045	0.0013
adobe_wall_construction	infrastructure	18	disaster_resilience	0.0075	0.0038
adobe_wall_construction	infrastructure	18	housing_output	0.03	0.0095
clean_water	health	18	disease_exposure	-0.13	-0.0375
clean_water	health	18	maternal_safety	0.04	0.0124
clean_water	health	18	neonatal_survival	0.03	0.0103
clean_water	health	18	water_safety	0.16	0.0596
house_floor_burial	culture	18	cohesion	0.0039	0.0021
lineage_land_tenure	institutions	18	cohesion	0.0039	0.0021
lineage_land_tenure	institutions	18	soil_productivity	0.01	0.0071
mineral_pigment_preparation	production	18	cohesion	0.0025	0.0013
mineral_pigment_preparation	production	18	craft_output	0.002	0.0009
mourning_days	culture	18	cohesion	0.0039	0.0021
mourning_days	culture	18	fatigue	-0.005	-0.0013
ochre_grave_goods	culture	18	cohesion	0.0026	0.0014
phenology_signs	ecology	18	foraging_yield	0.03	0.0274
phenology_signs	ecology	18	observation_rate	0.01	0.0052
plastered_ancestor_skulls	culture	18	cohesion	0.0039	0.0021
plastered_ancestor_skulls	culture	18	knowledge_preservation	0.002	0.0013
plot_yield_memory	nutrition	18	cultivation_yield	0.025	0.0119
plot_yield_memory	nutrition	18	soil_productivity	0.015	0.0106
skill_recognition	labor	18	labor_efficiency	0.0131	0.0065
skill_recognition	labor	18	task_coordination	0.0028	0.0014
sledges_travois	logistics	18	fatigue	-0.01	-0.0025
sledges_travois	logistics	18	haul_capacity	0.0189	0.0072
throwing_spears	security	18	warfare_readiness	0.0101	0.0078
watch_duty_rotation	knowledge	18	cohesion	0.002	0.0011
watch_duty_rotation	knowledge	18	task_coordination	0.0024	0.0012
acorn_leaching	nutrition	19	food_storage	0.01	0.0042
acorn_leaching	nutrition	19	foraging_yield	0.025	0.0229
blood_price	institutions	20	cohesion	0.0052	0.0028
blood_price	institutions	20	security_efficiency	0.01	0.0086
controlled_undergrowth_burning	ecology	20	foraging_yield	0.03	0.0274
down_the_line_exchange	logistics	20	cohesion	0.005	0.0027
down_the_line_exchange	logistics	20	tool_quality	0.01	0.0032
down_the_line_exchange	logistics	20	trade_capacity	0.0267	0.0266
festival_calendar	culture	20	cohesion	0.031	0.0165
festival_calendar	culture	20	task_coordination	0.018	0.0089
framed_construction	infrastructure	20	construction_rate	0.08	0.0231
framed_construction	infrastructure	20	disaster_resilience	0.03	0.0151
framed_construction	infrastructure	20	dry_storage	0.02	0.0108
framed_construction	infrastructure	20	housing_output	0.1	0.0316
mouths_against_store	demography	20	food_storage	0.008	0.0034
mouths_against_store	demography	20	storage_loss	-0.008	-0.0049
mouths_against_store	demography	20	task_coordination	0.006	0.003
pit_firing	production	20	container_capacity	0.12	0.0495
pit_firing	production	20	craft_output	0.05	0.0216
pit_firing	production	20	food_spoilage	-0.05	-0.0286
pulse_splitting	nutrition	20	food_storage	0.008	0.0034
pulse_splitting	nutrition	20	nutrition_quality	0.008	0.0044
stone_maceheads	security	20	warfare_readiness	0.0081	0.0062
wound_packing	health	20	health_protection	0.004	0.001
wound_packing	health	20	injury_risk	-0.01	-0.0035
wound_packing	health	20	maternal_safety	0.005	0.0015
ambush_raids	security	22	warfare_readiness	0.0121	0.0093
clay_tempering	production	22	container_capacity	0.08	0.033
clay_tempering	production	22	craft_output	0.04	0.0173
clay_tempering	production	22	storage_loss	-0.03	-0.0182
earth_oven_cooking	nutrition	22	food_output	0.008	0.0074
earth_oven_cooking	nutrition	22	nutrition_quality	0.01	0.0055
load_lashing_knots	logistics	22	haul_capacity	0.0095	0.0036
load_lashing_knots	logistics	22	injury_risk	-0.005	-0.0018
load_lashing_knots	logistics	22	storage_loss	-0.01	-0.0061
moon_counting	knowledge	22	knowledge_preservation	0.0048	0.0031
moon_counting	knowledge	22	observation_rate	0.029	0.0151
moon_counting	knowledge	22	task_coordination	0.0028	0.0014
poultices	health	22	health_protection	0.008	0.0019
poultices	health	22	injury_risk	-0.006	-0.0021
rotating_heavy_tasks	labor	22	fatigue	-0.02	-0.005
rotating_heavy_tasks	labor	22	labor_efficiency	0.0065	0.0032
fish_weirs_and_traps	nutrition	23	food_output	0.04	0.037
fish_weirs_and_traps	nutrition	23	foraging_yield	0.015	0.0137
grain_moisture_watch	nutrition	24	food_spoilage	-0.02	-0.0114
grain_moisture_watch	nutrition	24	storage_loss	-0.03	-0.0182
grog_preparation	production	24	container_capacity	0.02	0.0083
grog_preparation	production	24	craft_output	0.002	0.0009
patrilocal_residence	demography	24	cohesion	0.008	0.0043
patrilocal_residence	demography	24	labor_efficiency	0.005	0.0025
seasonal_crisis_leader	institutions	24	disaster_resilience	0.015	0.0076
seasonal_crisis_leader	institutions	24	task_coordination	0.0057	0.0028
spawning_calendar	ecology	24	food_output	0.02	0.0185
wattle_and_daub_walls	infrastructure	24	construction_rate	0.003	0.0009
wattle_and_daub_walls	infrastructure	24	disaster_resilience	0.0075	0.0038
wattle_and_daub_walls	infrastructure	24	housing_output	0.024	0.0076
herd_recovery_pursuit	security	25	food_output	0.005	0.0046
herd_recovery_pursuit	security	25	security_efficiency	0.0096	0.0082
herd_recovery_pursuit	security	25	warfare_readiness	0.004	0.0031
herding_rotas	labor	25	cohesion	0.0025	0.0013
herding_rotas	labor	25	labor_demand	-0.01	-0.0096
herding_rotas	labor	25	task_coordination	0.0112	0.0056
knot_tally_cross_check	knowledge	25	knowledge_preservation	0.0033	0.0022
knot_tally_cross_check	knowledge	25	task_coordination	0.002	0.001
milking	nutrition	25	food_output	0.045	0.0417
milking	nutrition	25	neonatal_survival	0.01	0.0034
milking	nutrition	25	nutrition_quality	0.008	0.0044
reciprocal_gift_exchange	culture	25	cohesion	0.0052	0.0028
reciprocal_gift_exchange	culture	25	disaster_resilience	0.01	0.005
route_food_caches	logistics	25	food_storage	0.01	0.0042
route_food_caches	logistics	25	travel_speed	0.01	0.005
sweat_baths	health	25	cohesion	0.006	0.0032
sweat_baths	health	25	disease_exposure	-0.005	-0.0014
sweat_baths	health	25	health_protection	0.006	0.0015
indirect_solar_food_drying	nutrition	26	food_spoilage	-0.015	-0.0086
indirect_solar_food_drying	nutrition	26	food_storage	0.02	0.0084
thatched_roofing	infrastructure	26	dry_storage	0.02	0.0108
thatched_roofing	infrastructure	26	housing_output	0.024	0.0076
timber_seasoning	production	26	construction_rate	0.04	0.0115
timber_seasoning	production	26	storage_loss	-0.05	-0.0304
crop_calendars	nutrition	27	cultivation_yield	0.08	0.0381
crop_calendars	nutrition	27	knowledge_preservation	0.02	0.0131
crop_calendars	nutrition	27	task_coordination	0.03	0.0149
bow_drill_drive	production	28	craft_output	0.003	0.0013
bow_drill_drive	production	28	tool_quality	0.004	0.0013
dry_stone_walls	infrastructure	28	construction_rate	0.0015	0.0004
dry_stone_walls	infrastructure	28	disaster_resilience	0.0112	0.0056
dry_stone_walls	infrastructure	28	soil_productivity	0.01	0.0071
firebreaks	ecology	28	disaster_resilience	0.02	0.0101
firebreaks	ecology	28	disaster_risk	-0.0102	-0.0086
kin_care_widows_orphans	demography	28	cohesion	0.01	0.0053
kin_care_widows_orphans	demography	28	neonatal_survival	0.012	0.0041
origin_story	culture	28	cohesion	0.0079	0.0042
origin_story	culture	28	knowledge_preservation	0.0032	0.0021
petition_speakers	institutions	28	cohesion	0.0026	0.0014
portage_paths	logistics	28	haul_capacity	0.0047	0.0018
portage_paths	logistics	28	route_speed	0.0161	0.0083
purges_emetics	health	28	disease_exposure	-0.004	-0.0012
purges_emetics	health	28	health_protection	0.006	0.0015
threshing_frames	nutrition	28	labor_efficiency	0.008	0.004
threshing_frames	nutrition	28	storage_loss	-0.015	-0.0091
work_party_feasts	labor	28	cohesion	0.01	0.0053
work_party_feasts	labor	28	construction_rate	0.003	0.0009
work_party_feasts	labor	28	labor_efficiency	0.0044	0.0022
work_party_feasts	labor	28	task_coordination	0.0188	0.0093
banishment_sentence	institutions	30	cohesion	0.0026	0.0014
banishment_sentence	institutions	30	security_efficiency	0.015	0.0128
fiber_retting	production	30	craft_output	0.002	0.0009
indicator_plants	ecology	30	observation_rate	0.01	0.0052
indicator_plants	ecology	30	soil_productivity	0.02	0.0141
indicator_plants	ecology	30	survey_speed	0.01	0.005
pottery_style_identity	culture	30	cohesion	0.0039	0.0021
pottery_style_identity	culture	30	craft_output	0.005	0.0022
repeated_recitation_training	knowledge	30	knowledge_preservation	0.0048	0.0031
repeated_recitation_training	knowledge	30	task_coordination	0.002	0.001
wild_honey_smoking	nutrition	30	foraging_yield	0.015	0.0137
wild_honey_smoking	nutrition	30	nutrition_quality	0.005	0.0027
winnowing_practice	nutrition	30	food_spoilage	-0.01	-0.0057
winnowing_practice	nutrition	30	storage_loss	-0.01	-0.0061
tooth_drilling	health	31	health_protection	0.005	0.0012
tooth_drilling	health	31	labor_efficiency	0.003	0.0015
ancestor_figurines	culture	32	cohesion	0.0026	0.0014
drop_spindles	production	32	craft_output	0.004	0.0017
festival_rest_days	labor	32	cohesion	0.005	0.0027
festival_rest_days	labor	32	fatigue	-0.0105	-0.0026
lined_well_shafts	infrastructure	32	disaster_resilience	0.0037	0.0019
lined_well_shafts	infrastructure	32	water_safety	0.018	0.0067
saddle_quern_grinding	nutrition	32	nutrition_quality	0.006	0.0033
skis_snowshoes	logistics	32	travel_speed	0.04	0.02
boil_lancing	health	34	health_protection	0.006	0.0015
boil_lancing	health	34	injury_risk	-0.004	-0.0014
cereal_dehulling	nutrition	34	storage_loss	-0.005	-0.003
grip_wrapping_practice	production	34	injury_risk	-0.0128	-0.0045
grip_wrapping_practice	production	34	tool_quality	0.02	0.0065
childrens_question_circles	knowledge	35	cohesion	0.002	0.0011
childrens_question_circles	knowledge	35	knowledge_preservation	0.0022	0.0014
clay_sling_bullets	security	35	craft_output	0.005	0.0022
clay_sling_bullets	security	35	warfare_readiness	0.0081	0.0062
customary_law	institutions	35	cohesion	0.026	0.0139
pit_pebble_game	culture	35	cohesion	0.002	0.0011
pit_pebble_game	culture	35	observation_rate	0.0097	0.0051
charcoal	production	36	fuel_efficiency	0.14	0.105
deliberate_milk_souring	nutrition	36	food_storage	0.01	0.0042
deliberate_milk_souring	nutrition	36	neonatal_survival	0.02	0.0069
deliberate_milk_souring	nutrition	36	nutrition_quality	0.03	0.0164
flood_house_mounds	infrastructure	36	disaster_resilience	0.03	0.0151
flood_house_mounds	infrastructure	36	housing_output	0.006	0.0019
part_time_specialists	labor	36	craft_output	0.007	0.003
part_time_specialists	labor	36	labor_efficiency	0.0033	0.0016
part_time_specialists	labor	36	tool_quality	0.003	0.001
maternal_recovery	demography	37	maternal_safety	0.08	0.0248
disability_care	health	38	cohesion	0.012	0.0064
disability_care	health	38	health_protection	0.005	0.0012
