effect	block_end_year	raw_block_total	scale	running_total	target
ecological_pressure	100	0.071	0.535	0.14	0.14
ecological_pressure	150	0.048	0.26	0.1525	0.1525
ecological_pressure	200	0.0621	0.201	0.165	0.165
ecological_pressure	250	0.0391	0.288	0.1762	0.1762
ecological_pressure	350	0.024	0.92	0.1983	0.1983
ecological_pressure	400	0.0451	0.24	0.2092	0.2092
ecological_pressure	450	0.012	0.903	0.22	0.22
ecological_pressure	500	0.03	0.333	0.23	0.23
ecological_pressure	550	0.018	0.556	0.24	0.24
ecological_pressure	600	0.024	0.417	0.25	0.25
ecology_recovery	50	0.1145	1.0	0.1145	0.175
ecology_recovery	100	0.1004	0.812	0.196	0.196
ecology_recovery	150	0.0741	0.236	0.2135	0.2135
ecology_recovery	200	0.0842	0.208	0.231	0.231
ecology_recovery	250	0.0741	0.213	0.2467	0.2467
ecology_recovery	300	0.0236	0.667	0.2625	0.2625
ecology_recovery	350	0.0202	0.751	0.2777	0.2777
ecology_recovery	400	0.0472	0.321	0.2928	0.2928
ecology_recovery	500	0.0268	1.0	0.3196	0.322
ecology_recovery	550	0.0405	0.404	0.336	0.336
ecology_recovery	600	0.0134	1.0	0.3494	0.35
extraction_yield	50	0.09	1.0	0.09	0.12
extraction_yield	100	0.03	1.0	0.12	0.144
extraction_yield	150	0.06	0.767	0.166	0.166
extraction_yield	350	0.01	1.0	0.176	0.2587
extraction_yield	550	0.03	1.0	0.206	0.3707
fatigue	50	0.2982	0.252	0.075	0.075
fatigue	100	0.096	0.094	0.084	0.084
fatigue	150	0.08	0.094	0.0915	0.0915
fatigue	200	0.063	0.119	0.099	0.099
fatigue	250	0.0505	0.134	0.1058	0.1058
fatigue	300	0.03	0.225	0.1125	0.1125
fatigue	350	0.01	0.65	0.119	0.119
fatigue	400	0.021	0.31	0.1255	0.1255
fatigue	450	0.0652	0.1	0.132	0.132
fatigue	500	0.0338	0.178	0.138	0.138
fatigue	550	0.0085	0.706	0.144	0.144
fiber_yield	50	0.16	1.0	0.16	0.225
fiber_yield	100	0.01	1.0	0.17	0.252
fiber_yield	150	0.02	1.0	0.19	0.2745
fiber_yield	200	0.05	1.0	0.24	0.297
fiber_yield	400	0.03	1.0	0.27	0.3765
fiber_yield	450	0.02	1.0	0.29	0.396
fiber_yield	500	0.02	1.0	0.31	0.414
food_output	50	0.189	0.926	0.175	0.175
food_output	100	0.065	0.323	0.196	0.196
food_output	150	0.01	1.0	0.206	0.2135
food_output	200	0.052	0.481	0.231	0.231
food_output	250	0.01	1.0	0.241	0.2467
food_output	300	0.015	1.0	0.256	0.2625
food_output	350	0.02	1.0	0.276	0.2777
food_output	400	0.03	0.561	0.2928	0.2928
food_output	450	0.115	0.132	0.308	0.308
food_output	500	0.04	0.35	0.322	0.322
food_output	550	0.02	0.7	0.336	0.336
food_spoilage	50	0.35	0.571	0.2	0.2
food_spoilage	100	0.245	0.098	0.224	0.224
food_spoilage	150	0.026	0.769	0.244	0.244
food_spoilage	200	0.26	0.077	0.264	0.264
food_spoilage	250	0.03	0.6	0.282	0.282
food_spoilage	300	0.01	1.0	0.292	0.3
food_spoilage	350	0.12	0.211	0.3173	0.3173
food_spoilage	400	0.02	0.867	0.3347	0.3347
food_spoilage	500	0.038	0.877	0.368	0.368
food_spoilage	550	0.04	0.4	0.384	0.384
food_spoilage	600	0.02	0.8	0.4	0.4
food_storage	50	0.654	0.42	0.275	0.275
food_storage	100	0.366	0.09	0.308	0.308
food_storage	150	0.11	0.25	0.3355	0.3355
food_storage	200	0.245	0.112	0.363	0.363
food_storage	250	0.12	0.206	0.3877	0.3877
food_storage	300	0.075	0.33	0.4125	0.4125
food_storage	350	0.303	0.079	0.4363	0.4363
food_storage	400	0.095	0.251	0.4602	0.4602
food_storage	450	0.05	0.477	0.484	0.484
food_storage	500	0.105	0.21	0.506	0.506
food_storage	550	0.14	0.157	0.528	0.528
food_storage	600	0.055	0.4	0.55	0.55
foraging_yield	50	0.33	0.915	0.3019	0.3019
foraging_yield	100	0.053	0.083	0.3063	0.3063
foraging_yield	150	0.02	0.219	0.3106	0.3106
foraging_yield	200	0.035	0.125	0.315	0.315
foraging_yield	350	0.02	0.656	0.3281	0.3281
fuel_demand	250	0.01	1.0	0.01	0.1058
fuel_demand	300	0.005	1.0	0.015	0.1125
fuel_efficiency	50	0.14	0.75	0.105	0.105
fuel_efficiency	100	0.05	0.42	0.126	0.126
fuel_efficiency	200	0.01	1.0	0.136	0.1645
fuel_efficiency	250	0.02	1.0	0.156	0.1838
fuel_efficiency	450	0.04	1.0	0.196	0.273
fuel_efficiency	500	0.05	1.0	0.246	0.2987
fuel_efficiency	550	0.03	1.0	0.276	0.3243
fuel_efficiency	600	0.05	1.0	0.326	0.35
haul_capacity	50	0.3565	0.379	0.135	0.135
haul_capacity	100	0.1232	0.219	0.162	0.162
haul_capacity	150	0.094	0.263	0.1867	0.1867
haul_capacity	200	0.0899	0.275	0.2115	0.2115
haul_capacity	250	0.1018	0.243	0.2362	0.2362
haul_capacity	300	0.1041	0.238	0.261	0.261
haul_capacity	350	0.1136	0.264	0.291	0.291
haul_capacity	400	0.252	0.119	0.321	0.321
haul_capacity	450	0.0954	0.314	0.351	0.351
haul_capacity	500	0.0355	0.93	0.384	0.384
haul_capacity	550	0.0189	1.0	0.4029	0.417
health_protection	50	0.4532	0.243	0.11	0.11
health_protection	100	0.1297	0.102	0.1232	0.1232
health_protection	150	0.0764	0.144	0.1342	0.1342
health_protection	200	0.0426	0.258	0.1452	0.1452
health_protection	250	0.0854	0.116	0.1551	0.1551
health_protection	300	0.029	0.341	0.165	0.165
health_protection	350	0.04	0.238	0.1745	0.1745
health_protection	400	0.0854	0.112	0.1841	0.1841
health_protection	450	0.0515	0.185	0.1936	0.1936
health_protection	500	0.057	0.154	0.2024	0.2024
health_protection	550	0.0175	0.503	0.2112	0.2112
health_risk	50	0.01	1.0	0.01	0.04
health_risk	100	0.01	1.0	0.02	0.0448
health_risk	250	0.01	1.0	0.03	0.0564
health_risk	350	0.004	1.0	0.034	0.0635
health_risk	400	0.01	1.0	0.044	0.0669
health_risk	500	0.024	1.0	0.068	0.0736
health_risk	600	0.007	1.0	0.075	0.08
housing_output	50	0.427	0.316	0.135	0.135
housing_output	100	0.168	0.161	0.162	0.162
housing_output	150	0.08	0.309	0.1867	0.1867
housing_output	200	0.044	0.563	0.2115	0.2115
housing_output	250	0.06	0.412	0.2362	0.2362
housing_output	300	0.082	0.302	0.261	0.261
housing_output	350	0.039	0.769	0.291	0.291
housing_output	400	0.18	0.167	0.321	0.321
housing_output	450	0.072	0.417	0.351	0.351
housing_output	500	0.032	1.0	0.383	0.384
housing_output	550	0.036	0.944	0.417	0.417
housing_output	600	0.052	0.635	0.45	0.45
hunting_yield	50	0.24	1.0	0.24	0.2587
hunting_yield	150	0.03	0.875	0.2663	0.2663
hunting_yield	350	0.02	0.75	0.2812	0.2812
hunting_yield	500	0.02	0.562	0.2925	0.2925
injury_risk	50	0.3106	0.354	0.11	0.11
injury_risk	100	0.1234	0.107	0.1232	0.1232
injury_risk	150	0.0603	0.182	0.1342	0.1342
injury_risk	200	0.0852	0.129	0.1452	0.1452
injury_risk	250	0.0566	0.175	0.1551	0.1551
injury_risk	300	0.0636	0.156	0.165	0.165
injury_risk	350	0.015	0.636	0.1745	0.1745
injury_risk	400	0.0858	0.111	0.1841	0.1841
injury_risk	450	0.0474	0.201	0.1936	0.1936
injury_risk	500	0.026	0.338	0.2024	0.2024
injury_risk	550	0.026	0.338	0.2112	0.2112
injury_risk	600	0.05	0.176	0.22	0.22
institutional_rigidity	250	0.01	1.0	0.01	0.0705
institutional_rigidity	500	0.01	1.0	0.02	0.092
institutional_rigidity	600	0.03	1.0	0.05	0.1
knowledge_preservation	50	0.206	0.655	0.135	0.135
knowledge_preservation	100	0.065	0.415	0.162	0.162
knowledge_preservation	150	0.0414	0.598	0.1867	0.1867
knowledge_preservation	200	0.0424	0.584	0.2115	0.2115
knowledge_preservation	250	0.0532	0.465	0.2362	0.2362
knowledge_preservation	300	0.143	0.173	0.261	0.261
knowledge_preservation	350	0.0229	1.0	0.2839	0.291
knowledge_preservation	400	0.1263	0.294	0.321	0.321
knowledge_preservation	450	0.14	0.214	0.351	0.351
knowledge_preservation	500	0.1442	0.229	0.384	0.384
knowledge_preservation	550	0.0442	0.747	0.417	0.417
knowledge_preservation	600	0.147	0.224	0.45	0.45
knowledge_rate	50	0.0346	1.0	0.0346	0.09
knowledge_rate	100	0.04	1.0	0.0746	0.108
knowledge_rate	150	0.014	1.0	0.0886	0.1245
knowledge_rate	200	0.0071	1.0	0.0957	0.141
knowledge_rate	250	0.052	1.0	0.1477	0.1575
knowledge_rate	300	0.028	0.939	0.174	0.174
knowledge_rate	350	0.0036	1.0	0.1776	0.194
knowledge_rate	400	0.035	1.0	0.2126	0.214
knowledge_rate	450	0.135	0.159	0.234	0.234
knowledge_rate	500	0.145	0.152	0.256	0.256
knowledge_rate	550	0.157	0.14	0.278	0.278
knowledge_rate	600	0.028	0.786	0.3	0.3
labor_demand	50	0.052	0.962	0.05	0.05
labor_demand	150	0.01	1.0	0.06	0.061
labor_demand	400	0.03	0.789	0.0837	0.0837
labor_demand	450	0.03	0.144	0.088	0.088
labor_demand	500	0.04	0.1	0.092	0.092
labor_demand	550	0.02	0.2	0.096	0.096
labor_efficiency	50	0.2526	0.495	0.125	0.125
labor_efficiency	100	0.1062	0.141	0.14	0.14
labor_efficiency	150	0.1322	0.095	0.1525	0.1525
labor_efficiency	200	0.0828	0.151	0.165	0.165
labor_efficiency	250	0.0898	0.125	0.1762	0.1762
labor_efficiency	300	0.0822	0.137	0.1875	0.1875
labor_efficiency	350	0.0375	0.289	0.1983	0.1983
labor_efficiency	400	0.0397	0.273	0.2092	0.2092
labor_efficiency	450	0.0787	0.138	0.22	0.22
labor_efficiency	500	0.0664	0.151	0.23	0.23
labor_efficiency	550	0.0111	0.901	0.24	0.24
labor_efficiency	600	0.0154	0.649	0.25	0.25
legitimacy	50	0.0846	1.0	0.0846	0.2
legitimacy	100	0.0435	1.0	0.1281	0.224
legitimacy	150	0.0671	1.0	0.1952	0.244
legitimacy	200	0.0827	0.832	0.264	0.264
legitimacy	250	0.0257	0.7	0.282	0.282
legitimacy	300	0.0405	0.444	0.3	0.3
legitimacy	350	0.0417	0.416	0.3173	0.3173
legitimacy	400	0.0929	0.187	0.3347	0.3347
legitimacy	450	0.0813	0.213	0.352	0.352
legitimacy	500	0.087	0.184	0.368	0.368
legitimacy	550	0.0857	0.187	0.384	0.384
legitimacy	600	0.0895	0.179	0.4	0.4
logistics_endurance	50	0.085	1.0	0.085	0.105
logistics_endurance	100	0.02	1.0	0.105	0.126
logistics_endurance	200	0.16	0.372	0.1645	0.1645
logistics_endurance	250	0.04	0.481	0.1838	0.1838
logistics_endurance	300	0.14	0.137	0.203	0.203
logistics_endurance	400	0.04	1.0	0.243	0.2497
logistics_endurance	450	0.105	0.286	0.273	0.273
logistics_endurance	500	0.04	0.642	0.2987	0.2987
logistics_endurance	550	0.03	0.856	0.3243	0.3243
logistics_endurance	600	0.045	0.57	0.35	0.35
maternal_safety	50	0.355	0.31	0.11	0.11
maternal_safety	100	0.051	0.259	0.1232	0.1232
maternal_safety	150	0.04	0.275	0.1342	0.1342
maternal_safety	200	0.03	0.367	0.1452	0.1452
maternal_safety	250	0.04	0.248	0.1551	0.1551
maternal_safety	300	0.074	0.134	0.165	0.165
maternal_safety	400	0.03	0.636	0.1841	0.1841
maternal_safety	450	0.03	0.318	0.1936	0.1936
maternal_safety	500	0.019	0.463	0.2024	0.2024
maternal_safety	550	0.012	0.733	0.2112	0.2112
maternal_safety	600	0.018	0.489	0.22	0.22
metal_yield	50	0.03	1.0	0.03	0.135
metal_yield	100	0.07	1.0	0.1	0.162
metal_yield	150	0.05	1.0	0.15	0.1867
metal_yield	200	0.04	1.0	0.19	0.2115
metal_yield	300	0.02	1.0	0.21	0.261
metal_yield	350	0.03	1.0	0.24	0.291
metal_yield	450	0.06	1.0	0.3	0.351
metal_yield	500	0.03	1.0	0.33	0.384
metal_yield	550	0.1	0.87	0.417	0.417
metal_yield	600	0.12	0.275	0.45	0.45
mine_safety	50	0.03	1.0	0.03	0.12
mine_safety	400	0.04	1.0	0.07	0.2853
mine_safety	600	0.12	1.0	0.19	0.4
mobile_shelter	50	0.13	1.0	0.13	0.3019
mobile_shelter	100	0.006	1.0	0.136	0.3063
mobile_shelter	150	0.02	1.0	0.156	0.3106
mobile_shelter	400	0.02	1.0	0.176	0.3325
naval_capacity	100	0.06	1.0	0.06	0.126
naval_capacity	250	0.02	1.0	0.08	0.1838
naval_capacity	300	0.04	1.0	0.12	0.203
naval_capacity	350	0.195	0.545	0.2263	0.2263
naval_capacity	400	0.065	0.359	0.2497	0.2497
naval_capacity	450	0.14	0.167	0.273	0.273
naval_capacity	550	0.14	0.367	0.3243	0.3243
naval_capacity	600	0.03	0.856	0.35	0.35
neonatal_survival	50	0.319	0.345	0.11	0.11
neonatal_survival	100	0.051	0.259	0.1232	0.1232
neonatal_survival	150	0.12	0.092	0.1342	0.1342
neonatal_survival	200	0.02	0.55	0.1452	0.1452
neonatal_survival	250	0.048	0.206	0.1551	0.1551
neonatal_survival	300	0.02	0.495	0.165	0.165
neonatal_survival	400	0.046	0.414	0.1841	0.1841
neonatal_survival	450	0.014	0.681	0.1936	0.1936
neonatal_survival	500	0.014	0.629	0.2024	0.2024
neonatal_survival	550	0.018	0.489	0.2112	0.2112
neonatal_survival	600	0.03	0.293	0.22	0.22
nutrition_quality	50	0.228	0.548	0.125	0.125
nutrition_quality	100	0.119	0.126	0.14	0.14
nutrition_quality	150	0.105	0.119	0.1525	0.1525
nutrition_quality	200	0.02	0.625	0.165	0.165
nutrition_quality	250	0.065	0.173	0.1762	0.1762
nutrition_quality	350	0.015	1.0	0.1912	0.1983
nutrition_quality	400	0.03	0.597	0.2092	0.2092
nutrition_quality	500	0.015	1.0	0.2242	0.23
nutrition_quality	550	0.01	1.0	0.2342	0.24
nutrition_quality	600	0.005	1.0	0.2392	0.25
observation_rate	50	0.1727	0.521	0.09	0.09
observation_rate	100	0.02	0.9	0.108	0.108
observation_rate	150	0.039	0.423	0.1245	0.1245
observation_rate	200	0.029	0.569	0.141	0.141
observation_rate	350	0.0148	1.0	0.1558	0.194
observation_rate	400	0.029	1.0	0.1848	0.214
observation_rate	450	0.027	1.0	0.2118	0.234
observation_rate	500	0.035	1.0	0.2468	0.256
observation_rate	600	0.101	0.527	0.3	0.3
pollution	50	0.0255	1.0	0.0255	0.04
pollution	100	0.0127	1.0	0.0382	0.0448
pollution	150	0.0191	0.555	0.0488	0.0488
pollution	200	0.035	0.114	0.0528	0.0528
pollution	250	0.0223	0.161	0.0564	0.0564
pollution	400	0.0191	0.551	0.0669	0.0669
pollution	550	0.0127	0.777	0.0768	0.0768
repair_capacity	50	0.08	1.0	0.08	0.09
repair_capacity	100	0.01	1.0	0.09	0.108
repair_capacity	200	0.01	1.0	0.1	0.141
repair_capacity	250	0.035	1.0	0.135	0.1575
repair_capacity	300	0.01	1.0	0.145	0.174
repair_capacity	350	0.04	1.0	0.185	0.194
repair_capacity	450	0.115	0.426	0.234	0.234
repair_capacity	500	0.03	0.733	0.256	0.256
repair_capacity	600	0.05	0.88	0.3	0.3
route_speed	50	0.2037	0.515	0.105	0.105
route_speed	100	0.1012	0.208	0.126	0.126
route_speed	150	0.0374	0.515	0.1452	0.1452
route_speed	200	0.0557	0.346	0.1645	0.1645
route_speed	250	0.027	0.713	0.1838	0.1838
route_speed	300	0.0539	0.357	0.203	0.203
route_speed	350	0.1821	0.128	0.2263	0.2263
route_speed	400	0.0646	0.361	0.2497	0.2497
route_speed	450	0.1123	0.208	0.273	0.273
route_speed	500	0.043	0.597	0.2987	0.2987
route_speed	550	0.1537	0.167	0.3243	0.3243
route_speed	600	0.0161	1.0	0.3404	0.35
sanitation	50	0.022	1.0	0.022	0.11
sanitation	100	0.042	1.0	0.064	0.1232
sanitation	150	0.02	1.0	0.084	0.1342
sanitation	200	0.04	1.0	0.124	0.1452
sanitation	250	0.058	0.536	0.1551	0.1551
sanitation	300	0.039	0.254	0.165	0.165
sanitation	350	0.141	0.068	0.1745	0.1745
sanitation	400	0.046	0.207	0.1841	0.1841
sanitation	450	0.388	0.05	0.2035	0.1936
sanitation	500	0.006	0.05	0.2038	0.2024
sanitation	550	0.018	0.413	0.2112	0.2112
sanitation	600	0.03	0.293	0.22	0.22
security_efficiency	50	0.1403	0.855	0.12	0.12
security_efficiency	100	0.0948	0.253	0.144	0.144
security_efficiency	150	0.0572	0.385	0.166	0.166
security_efficiency	200	0.0192	1.0	0.1852	0.188
security_efficiency	250	0.0576	0.431	0.21	0.21
security_efficiency	300	0.0722	0.305	0.232	0.232
security_efficiency	350	0.214	0.125	0.2587	0.2587
security_efficiency	400	0.0632	0.422	0.2853	0.2853
security_efficiency	450	0.0986	0.27	0.312	0.312
security_efficiency	500	0.0694	0.423	0.3413	0.3413
security_efficiency	550	0.0624	0.47	0.3707	0.3707
security_efficiency	600	0.089	0.33	0.4	0.4
soil_productivity	50	0.17	0.706	0.12	0.12
soil_productivity	100	0.145	0.166	0.144	0.144
soil_productivity	150	0.12	0.183	0.166	0.166
soil_productivity	200	0.08	0.275	0.188	0.188
soil_productivity	250	0.03	0.733	0.21	0.21
soil_productivity	300	0.05	0.44	0.232	0.232
soil_productivity	350	0.12	0.222	0.2587	0.2587
soil_productivity	400	0.035	0.762	0.2853	0.2853
soil_productivity	450	0.09	0.296	0.312	0.312
soil_productivity	500	0.016	1.0	0.328	0.3413
standardization	50	0.153	0.784	0.12	0.12
standardization	100	0.029	0.828	0.144	0.144
standardization	150	0.044	0.5	0.166	0.166
standardization	200	0.132	0.167	0.188	0.188
standardization	250	0.0502	0.438	0.21	0.21
standardization	300	0.0603	0.365	0.232	0.232
standardization	350	0.019	1.0	0.251	0.2587
standardization	400	0.093	0.369	0.2853	0.2853
standardization	450	0.148	0.18	0.312	0.312
standardization	500	0.0742	0.395	0.3413	0.3413
standardization	550	0.1071	0.274	0.3707	0.3707
standardization	600	0.0424	0.692	0.4	0.4
state_capacity	50	0.1007	1.0	0.1007	0.135
state_capacity	100	0.0337	1.0	0.1344	0.162
state_capacity	150	0.1141	0.459	0.1867	0.1867
state_capacity	200	0.0925	0.268	0.2115	0.2115
state_capacity	250	0.0659	0.376	0.2362	0.2362
state_capacity	300	0.1484	0.167	0.261	0.261
state_capacity	350	0.1823	0.165	0.291	0.291
state_capacity	400	0.2045	0.147	0.321	0.321
state_capacity	450	0.2049	0.146	0.351	0.351
state_capacity	500	0.173	0.191	0.384	0.384
state_capacity	550	0.1187	0.278	0.417	0.417
state_capacity	600	0.0977	0.338	0.45	0.45
stone_yield	50	0.08	1.0	0.08	0.225
stone_yield	100	0.13	1.0	0.21	0.252
stone_yield	150	0.02	1.0	0.23	0.2745
stone_yield	250	0.06	1.0	0.29	0.3172
stone_yield	350	0.02	1.0	0.31	0.357
stone_yield	400	0.03	1.0	0.34	0.3765
stone_yield	450	0.01	1.0	0.35	0.396
storage_loss	50	0.288	0.608	0.175	0.175
storage_loss	100	0.11	0.191	0.196	0.196
storage_loss	150	0.11	0.159	0.2135	0.2135
storage_loss	200	0.14	0.125	0.231	0.231
storage_loss	250	0.075	0.21	0.2467	0.2467
storage_loss	300	0.08	0.197	0.2625	0.2625
storage_loss	350	0.05	0.303	0.2777	0.2777
storage_loss	400	0.095	0.16	0.2928	0.2928
storage_loss	450	0.05	0.303	0.308	0.308
storage_loss	500	0.05	0.28	0.322	0.322
storage_loss	550	0.05	0.28	0.336	0.336
storage_loss	600	0.06	0.233	0.35	0.35
survey_speed	50	0.24	0.5	0.12	0.12
survey_speed	100	0.205	0.117	0.144	0.144
survey_speed	150	0.02	1.0	0.164	0.166
survey_speed	250	0.06	0.767	0.21	0.21
survey_speed	300	0.01	1.0	0.22	0.232
survey_speed	350	0.01	1.0	0.23	0.2587
survey_speed	400	0.03	1.0	0.26	0.2853
survey_speed	500	0.235	0.346	0.3413	0.3413
survey_speed	550	0.13	0.226	0.3707	0.3707
task_coordination	50	0.2113	0.497	0.105	0.105
task_coordination	100	0.1038	0.202	0.126	0.126
task_coordination	150	0.1177	0.164	0.1452	0.1452
task_coordination	200	0.078	0.247	0.1645	0.1645
task_coordination	250	0.1006	0.191	0.1838	0.1838
task_coordination	300	0.1532	0.126	0.203	0.203
task_coordination	350	0.0734	0.318	0.2263	0.2263
task_coordination	400	0.1698	0.137	0.2497	0.2497
task_coordination	450	0.056	0.417	0.273	0.273
task_coordination	500	0.0668	0.384	0.2987	0.2987
task_coordination	550	0.0364	0.705	0.3243	0.3243
task_coordination	600	0.079	0.325	0.35	0.35
timber_pressure	50	0.015	1.0	0.015	0.125
timber_pressure	150	0.04	1.0	0.055	0.1525
timber_pressure	200	0.06	1.0	0.115	0.165
timber_pressure	250	0.085	0.721	0.1762	0.1762
timber_pressure	300	0.03	0.375	0.1875	0.1875
timber_pressure	400	0.04	0.542	0.2092	0.2092
timber_pressure	500	0.06	0.347	0.23	0.23
timber_pressure	550	0.035	0.286	0.24	0.24
timber_pressure	600	0.1	0.1	0.25	0.25
timber_yield	50	0.13	1.0	0.13	0.225
timber_yield	200	0.03	1.0	0.16	0.297
timber_yield	250	0.035	1.0	0.195	0.3172
timber_yield	300	0.01	1.0	0.205	0.3375
timber_yield	350	0.03	1.0	0.235	0.357
timber_yield	400	0.03	1.0	0.265	0.3765
